85	 Q0 	AP890220-0143	1	8.3196989724	 Exp 
85	 Q0 	AP890915-0075	2	7.7538586531	 Exp 
85	 Q0 	AP890724-0073	3	7.5070136815	 Exp 
85	 Q0 	AP890412-0196	4	7.3468573551	 Exp 
85	 Q0 	AP890520-0007	5	6.8808380369	 Exp 
85	 Q0 	AP891111-0095	6	6.7341624138	 Exp 
85	 Q0 	AP891209-0064	7	6.7139364503	 Exp 
85	 Q0 	AP890518-0050	8	6.6955425185	 Exp 
85	 Q0 	AP891212-0162	9	6.6860675760	 Exp 
85	 Q0 	AP890525-0031	10	6.6698418018	 Exp 
85	 Q0 	AP890301-0215	11	6.6227312615	 Exp 
85	 Q0 	AP890122-0062	12	6.5821146418	 Exp 
85	 Q0 	AP890302-0026	13	6.5612996902	 Exp 
85	 Q0 	AP891011-0056	14	6.4613010689	 Exp 
85	 Q0 	AP890527-0048	15	6.4298205966	 Exp 
85	 Q0 	AP890522-0129	16	6.3754348334	 Exp 
85	 Q0 	AP890223-0032	17	6.3639651668	 Exp 
85	 Q0 	AP890209-0040	18	6.3520925290	 Exp 
85	 Q0 	AP890131-0031	19	6.3334511586	 Exp 
85	 Q0 	AP890314-0133	20	6.1745899792	 Exp 
85	 Q0 	AP890530-0167	21	6.1550215923	 Exp 
85	 Q0 	AP890704-0150	22	6.1380977304	 Exp 
85	 Q0 	AP890710-0011	23	6.1380977304	 Exp 
85	 Q0 	AP890108-0030	24	6.0951241772	 Exp 
85	 Q0 	AP890214-0122	25	6.0703178474	 Exp 
85	 Q0 	AP890912-0198	26	6.0375581510	 Exp 
85	 Q0 	AP891212-0058	27	6.0192024639	 Exp 
85	 Q0 	AP891206-0127	28	6.0112031905	 Exp 
85	 Q0 	AP890107-0129	29	6.0039299034	 Exp 
85	 Q0 	AP890516-0072	30	5.9529569092	 Exp 
85	 Q0 	AP890811-0076	31	5.9376481318	 Exp 
85	 Q0 	AP890310-0224	32	5.9306724998	 Exp 
85	 Q0 	AP890516-0104	33	5.9081589223	 Exp 
85	 Q0 	AP890509-0275	34	5.8975558992	 Exp 
85	 Q0 	AP890116-0163	35	5.8788766712	 Exp 
85	 Q0 	AP890516-0158	36	5.8634780872	 Exp 
85	 Q0 	AP890517-0182	37	5.8571029069	 Exp 
85	 Q0 	AP890125-0265	38	5.8552040959	 Exp 
85	 Q0 	AP890511-0074	39	5.8448359220	 Exp 
85	 Q0 	AP891205-0128	40	5.8336883815	 Exp 
85	 Q0 	AP890125-0007	41	5.8329152538	 Exp 
85	 Q0 	AP890118-0229	42	5.8100299729	 Exp 
85	 Q0 	AP891207-0148	43	5.8081924610	 Exp 
85	 Q0 	AP890628-0156	44	5.8008007689	 Exp 
85	 Q0 	AP890503-0182	45	5.7895336744	 Exp 
85	 Q0 	AP891004-0162	46	5.7847740915	 Exp 
85	 Q0 	AP890410-0010	47	5.7435233675	 Exp 
85	 Q0 	AP890731-0042	48	5.7089393697	 Exp 
85	 Q0 	AP890916-0058	49	5.7053282323	 Exp 
85	 Q0 	AP890323-0140	50	5.6701745779	 Exp 
85	 Q0 	AP890621-0127	51	5.6210083946	 Exp 
85	 Q0 	AP890720-0157	52	5.6125142213	 Exp 
85	 Q0 	AP891202-0142	53	5.6100516195	 Exp 
85	 Q0 	AP890601-0250	54	5.5965860157	 Exp 
85	 Q0 	AP890705-0130	55	5.5901359201	 Exp 
85	 Q0 	AP891205-0071	56	5.5678921238	 Exp 
85	 Q0 	AP891230-0081	57	5.5668208558	 Exp 
85	 Q0 	AP890125-0134	58	5.5549199988	 Exp 
85	 Q0 	AP891221-0133	59	5.5547970583	 Exp 
85	 Q0 	AP891026-0155	60	5.5448832304	 Exp 
85	 Q0 	AP890718-0237	61	5.5439647473	 Exp 
85	 Q0 	AP890503-0199	62	5.5299046305	 Exp 
85	 Q0 	AP890221-0207	63	5.5296825746	 Exp 
85	 Q0 	AP891230-0030	64	5.5205119434	 Exp 
85	 Q0 	AP890131-0078	65	5.5086295822	 Exp 
85	 Q0 	AP891013-0120	66	5.4959803926	 Exp 
85	 Q0 	AP890414-0097	67	5.4831130026	 Exp 
85	 Q0 	AP890509-0031	68	5.4733170823	 Exp 
85	 Q0 	AP890819-0056	69	5.4695953635	 Exp 
85	 Q0 	AP890906-0153	70	5.4532653591	 Exp 
85	 Q0 	AP890418-0038	71	5.4482402930	 Exp 
85	 Q0 	AP890222-0122	72	5.4401893065	 Exp 
85	 Q0 	AP890112-0180	73	5.4296383269	 Exp 
85	 Q0 	AP890105-0287	74	5.4259534755	 Exp 
85	 Q0 	AP890525-0042	75	5.4236129735	 Exp 
85	 Q0 	AP891205-0163	76	5.4175338063	 Exp 
85	 Q0 	AP890622-0096	77	5.3994160791	 Exp 
85	 Q0 	AP890104-0031	78	5.3985001092	 Exp 
85	 Q0 	AP890107-0080	79	5.3855469892	 Exp 
85	 Q0 	AP890620-0122	80	5.3714830803	 Exp 
85	 Q0 	AP891027-0091	81	5.3704718977	 Exp 
85	 Q0 	AP890120-0071	82	5.3692403030	 Exp 
85	 Q0 	AP890123-0314	83	5.3684084758	 Exp 
85	 Q0 	AP890615-0143	84	5.3670361639	 Exp 
85	 Q0 	AP890407-0042	85	5.3638426281	 Exp 
85	 Q0 	AP890313-0224	86	5.3572582257	 Exp 
85	 Q0 	AP890129-0035	87	5.3550087499	 Exp 
85	 Q0 	AP890523-0160	88	5.3547380649	 Exp 
85	 Q0 	AP890417-0030	89	5.3454814559	 Exp 
85	 Q0 	AP890208-0012	90	5.3401122509	 Exp 
85	 Q0 	AP891213-0271	91	5.3371371769	 Exp 
85	 Q0 	AP890825-0044	92	5.3369047180	 Exp 
85	 Q0 	AP891023-0145	93	5.3360179537	 Exp 
85	 Q0 	AP890822-0054	94	5.3246497560	 Exp 
85	 Q0 	AP890401-0001	95	5.3126544855	 Exp 
85	 Q0 	AP890825-0135	96	5.3054463651	 Exp 
85	 Q0 	AP890107-0095	97	5.2982097267	 Exp 
85	 Q0 	AP890203-0243	98	5.2950229156	 Exp 
85	 Q0 	AP891002-0245	99	5.2879508072	 Exp 
85	 Q0 	AP891113-0023	100	5.2863050634	 Exp 
85	 Q0 	AP891017-0098	101	5.2700987071	 Exp 
85	 Q0 	AP890315-0167	102	5.2655981402	 Exp 
85	 Q0 	AP890315-0010	103	5.2560062428	 Exp 
85	 Q0 	AP891222-0200	104	5.2447703056	 Exp 
85	 Q0 	AP890127-0050	105	5.2393106497	 Exp 
85	 Q0 	AP890513-0036	106	5.2385212943	 Exp 
85	 Q0 	AP890713-0174	107	5.2235472177	 Exp 
85	 Q0 	AP890911-0142	108	5.2179806935	 Exp 
85	 Q0 	AP890531-0194	109	5.2109424002	 Exp 
85	 Q0 	AP890711-0160	110	5.1950066103	 Exp 
85	 Q0 	AP891225-0110	111	5.1672583597	 Exp 
85	 Q0 	AP891208-0002	112	5.1609483715	 Exp 
85	 Q0 	AP891103-0101	113	5.1584775440	 Exp 
85	 Q0 	AP890302-0209	114	5.1548448782	 Exp 
85	 Q0 	AP890919-0212	115	5.1508294439	 Exp 
85	 Q0 	AP890125-0095	116	5.1419570944	 Exp 
85	 Q0 	AP890504-0024	117	5.1308398337	 Exp 
