85	 Q0 	AP890220-0143	1	2.9427085445	 Exp 
85	 Q0 	AP890412-0196	2	2.7608200118	 Exp 
85	 Q0 	AP890915-0075	3	2.7162742200	 Exp 
85	 Q0 	AP890724-0073	4	2.6840914322	 Exp 
85	 Q0 	AP891111-0095	5	2.4967290021	 Exp 
85	 Q0 	AP890518-0050	6	2.4338194436	 Exp 
85	 Q0 	AP890223-0032	7	2.3484286235	 Exp 
85	 Q0 	AP890122-0062	8	2.3435800273	 Exp 
85	 Q0 	AP890302-0026	9	2.3424903770	 Exp 
85	 Q0 	AP891209-0064	10	2.3382571931	 Exp 
85	 Q0 	AP891212-0162	11	2.3307877298	 Exp 
85	 Q0 	AP890108-0030	12	2.2950830597	 Exp 
85	 Q0 	AP890520-0007	13	2.2847925719	 Exp 
85	 Q0 	AP890527-0048	14	2.2755358405	 Exp 
85	 Q0 	AP890107-0129	15	2.2547763235	 Exp 
85	 Q0 	AP890525-0031	16	2.2420902444	 Exp 
85	 Q0 	AP890301-0215	17	2.2379178698	 Exp 
85	 Q0 	AP890522-0129	18	2.2243288717	 Exp 
85	 Q0 	AP890704-0150	19	2.2070766012	 Exp 
85	 Q0 	AP890710-0011	20	2.2070766012	 Exp 
85	 Q0 	AP891205-0071	21	2.1885344452	 Exp 
85	 Q0 	AP890209-0040	22	2.1814270216	 Exp 
85	 Q0 	AP890516-0158	23	2.1776332119	 Exp 
85	 Q0 	AP891011-0056	24	2.1621174626	 Exp 
85	 Q0 	AP891212-0058	25	2.1511313847	 Exp 
85	 Q0 	AP890516-0072	26	2.1493337708	 Exp 
85	 Q0 	AP890530-0167	27	2.1435635496	 Exp 
85	 Q0 	AP890131-0031	28	2.1405251115	 Exp 
85	 Q0 	AP890517-0182	29	2.1278904462	 Exp 
85	 Q0 	AP890314-0133	30	2.1160961656	 Exp 
85	 Q0 	AP890125-0007	31	2.0988570558	 Exp 
85	 Q0 	AP890131-0078	32	2.0968227384	 Exp 
85	 Q0 	AP890118-0229	33	2.0890427124	 Exp 
85	 Q0 	AP891206-0127	34	2.0658067945	 Exp 
85	 Q0 	AP890310-0224	35	2.0610521099	 Exp 
85	 Q0 	AP890112-0180	36	2.0495667119	 Exp 
85	 Q0 	AP890516-0104	37	2.0470261058	 Exp 
85	 Q0 	AP890811-0076	38	2.0446691165	 Exp 
85	 Q0 	AP890214-0122	39	2.0440442817	 Exp 
85	 Q0 	AP890116-0163	40	2.0420518892	 Exp 
85	 Q0 	AP890511-0074	41	2.0301496907	 Exp 
85	 Q0 	AP890125-0134	42	2.0117530169	 Exp 
85	 Q0 	AP890315-0010	43	2.0078612212	 Exp 
85	 Q0 	AP891202-0142	44	1.9993709404	 Exp 
85	 Q0 	AP890615-0143	45	1.9988886690	 Exp 
85	 Q0 	AP891205-0128	46	1.9929179934	 Exp 
85	 Q0 	AP890621-0127	47	1.9871872333	 Exp 
85	 Q0 	AP890323-0140	48	1.9852204693	 Exp 
85	 Q0 	AP890509-0031	49	1.9816151635	 Exp 
85	 Q0 	AP890912-0198	50	1.9778543628	 Exp 
85	 Q0 	AP890509-0275	51	1.9772415003	 Exp 
85	 Q0 	AP890601-0250	52	1.9761578774	 Exp 
85	 Q0 	AP890718-0237	53	1.9742318094	 Exp 
85	 Q0 	AP890726-0212	54	1.9717511427	 Exp 
85	 Q0 	AP891004-0162	55	1.9670879687	 Exp 
85	 Q0 	AP890417-0030	56	1.9670565799	 Exp 
85	 Q0 	AP890628-0156	57	1.9655451052	 Exp 
85	 Q0 	AP891221-0133	58	1.9609156997	 Exp 
85	 Q0 	AP890911-0142	59	1.9583529026	 Exp 
85	 Q0 	AP890125-0265	60	1.9532628514	 Exp 
85	 Q0 	AP890503-0199	61	1.9404559894	 Exp 
85	 Q0 	AP891230-0030	62	1.9394492954	 Exp 
85	 Q0 	AP890731-0042	63	1.9384220384	 Exp 
85	 Q0 	AP890418-0038	64	1.9360603322	 Exp 
85	 Q0 	AP890414-0097	65	1.9360523694	 Exp 
85	 Q0 	AP890410-0010	66	1.9316932013	 Exp 
85	 Q0 	AP891017-0098	67	1.9277774765	 Exp 
85	 Q0 	AP890525-0042	68	1.9175470950	 Exp 
85	 Q0 	AP891222-0200	69	1.9093659569	 Exp 
85	 Q0 	AP890705-0130	70	1.9086865878	 Exp 
85	 Q0 	AP890819-0056	71	1.9050295817	 Exp 
85	 Q0 	AP890720-0157	72	1.9046547627	 Exp 
85	 Q0 	AP891013-0120	73	1.9028211612	 Exp 
85	 Q0 	AP890221-0207	74	1.8968218208	 Exp 
85	 Q0 	AP891208-0002	75	1.8966877457	 Exp 
85	 Q0 	AP891207-0148	76	1.8962355270	 Exp 
85	 Q0 	AP891002-0245	77	1.8883697685	 Exp 
85	 Q0 	AP890622-0096	78	1.8844966022	 Exp 
85	 Q0 	AP890906-0153	79	1.8843005054	 Exp 
85	 Q0 	AP890916-0058	80	1.8825602584	 Exp 
85	 Q0 	AP891113-0023	81	1.8767251348	 Exp 
85	 Q0 	AP890315-0167	82	1.8749220908	 Exp 
85	 Q0 	AP891205-0163	83	1.8724284586	 Exp 
85	 Q0 	AP890531-0194	84	1.8674783404	 Exp 
85	 Q0 	AP891023-0145	85	1.8656753665	 Exp 
85	 Q0 	AP891230-0081	86	1.8588149222	 Exp 
85	 Q0 	AP890503-0182	87	1.8572762346	 Exp 
85	 Q0 	AP890620-0122	88	1.8570692519	 Exp 
85	 Q0 	AP890819-0113	89	1.8493963286	 Exp 
85	 Q0 	AP890123-0314	90	1.8481200667	 Exp 
85	 Q0 	AP890208-0012	91	1.8468606376	 Exp 
85	 Q0 	AP890309-0205	92	1.8466063541	 Exp 
85	 Q0 	AP890710-0036	93	1.8460343171	 Exp 
85	 Q0 	AP890216-0050	94	1.8417911917	 Exp 
85	 Q0 	AP890105-0287	95	1.8378338441	 Exp 
85	 Q0 	AP891027-0091	96	1.8337261966	 Exp 
85	 Q0 	AP890919-0212	97	1.8329651623	 Exp 
85	 Q0 	AP890129-0035	98	1.8227595416	 Exp 
85	 Q0 	AP890802-0043	99	1.8213649380	 Exp 
85	 Q0 	AP890825-0135	100	1.8115764376	 Exp 
85	 Q0 	AP890523-0160	101	1.8097267623	 Exp 
85	 Q0 	AP891031-0190	102	1.8067589857	 Exp 
85	 Q0 	AP890109-0072	103	1.8015395817	 Exp 
85	 Q0 	AP890923-0106	104	1.7991040098	 Exp 
85	 Q0 	AP891026-0155	105	1.7986981365	 Exp 
