85	 Q0 	AP890220-0143	1	-65.1120436752	 Exp 
85	 Q0 	AP890314-0022	2	-65.9629125258	 Exp 
85	 Q0 	AP890401-0001	3	-66.4258523688	 Exp 
85	 Q0 	AP890221-0159	4	-66.4391506499	 Exp 
85	 Q0 	AP890724-0073	5	-66.8573020017	 Exp 
85	 Q0 	AP890412-0196	6	-66.8743205853	 Exp 
85	 Q0 	AP891111-0095	7	-67.2984859144	 Exp 
85	 Q0 	AP890915-0075	8	-67.3276896508	 Exp 
85	 Q0 	AP891212-0162	9	-67.4144458894	 Exp 
85	 Q0 	AP890206-0065	10	-67.4880744780	 Exp 
85	 Q0 	AP890131-0031	11	-67.5151024548	 Exp 
85	 Q0 	AP890525-0031	12	-67.6320237329	 Exp 
85	 Q0 	AP891221-0133	13	-67.6604251592	 Exp 
85	 Q0 	AP890520-0007	14	-67.6762392263	 Exp 
85	 Q0 	AP890518-0050	15	-67.9330662902	 Exp 
85	 Q0 	AP890425-0269	16	-67.9872639191	 Exp 
85	 Q0 	AP891011-0056	17	-68.1366445392	 Exp 
85	 Q0 	AP890527-0048	18	-68.1748215150	 Exp 
85	 Q0 	AP890307-0244	19	-68.2026693478	 Exp 
85	 Q0 	AP891209-0064	20	-68.2673415811	 Exp 
85	 Q0 	AP890425-0137	21	-68.3408506581	 Exp 
85	 Q0 	AP890301-0215	22	-68.3779044297	 Exp 
85	 Q0 	AP890713-0135	23	-68.5048937314	 Exp 
85	 Q0 	AP890503-0182	24	-68.5236658706	 Exp 
85	 Q0 	AP890122-0062	25	-68.5491325504	 Exp 
85	 Q0 	AP890811-0076	26	-68.5950409623	 Exp 
85	 Q0 	AP890302-0026	27	-68.6251722408	 Exp 
85	 Q0 	AP890214-0122	28	-68.6637649279	 Exp 
85	 Q0 	AP890515-0006	29	-68.6678014361	 Exp 
85	 Q0 	AP891205-0128	30	-68.7190590948	 Exp 
85	 Q0 	AP890209-0040	31	-68.7217465055	 Exp 
85	 Q0 	AP890310-0224	32	-68.7521481538	 Exp 
85	 Q0 	AP891208-0062	33	-68.7765161909	 Exp 
85	 Q0 	AP890522-0129	34	-68.8109497006	 Exp 
85	 Q0 	AP890323-0140	35	-68.8110001548	 Exp 
85	 Q0 	AP890222-0122	36	-68.9028333531	 Exp 
85	 Q0 	AP890705-0130	37	-68.9471505291	 Exp 
85	 Q0 	AP891206-0127	38	-68.9948172482	 Exp 
85	 Q0 	AP891212-0058	39	-69.0287331307	 Exp 
85	 Q0 	AP890912-0198	40	-69.0726696578	 Exp 
85	 Q0 	AP890530-0167	41	-69.0754994808	 Exp 
85	 Q0 	AP890314-0133	42	-69.0937633250	 Exp 
85	 Q0 	AP890107-0129	43	-69.1072342558	 Exp 
85	 Q0 	AP890822-0054	44	-69.1733873354	 Exp 
85	 Q0 	AP890223-0032	45	-69.2173163165	 Exp 
85	 Q0 	AP890203-0243	46	-69.2418216672	 Exp 
85	 Q0 	AP890504-0024	47	-69.3267239075	 Exp 
85	 Q0 	AP890916-0058	48	-69.3578502138	 Exp 
85	 Q0 	AP891004-0162	49	-69.3593786762	 Exp 
85	 Q0 	AP890118-0229	50	-69.4144376906	 Exp 
85	 Q0 	AP890602-0009	51	-69.4335248024	 Exp 
85	 Q0 	AP890516-0072	52	-69.4804207070	 Exp 
85	 Q0 	AP890906-0153	53	-69.4945976357	 Exp 
85	 Q0 	AP890718-0237	54	-69.4956757599	 Exp 
85	 Q0 	AP891219-0013	55	-69.5143500116	 Exp 
85	 Q0 	AP890914-0001	56	-69.5370782822	 Exp 
85	 Q0 	AP890628-0156	57	-69.5609195107	 Exp 
85	 Q0 	AP890125-0134	58	-69.5749646099	 Exp 
85	 Q0 	AP890120-0071	59	-69.5750492694	 Exp 
85	 Q0 	AP890511-0074	60	-69.5777783349	 Exp 
85	 Q0 	AP890407-0042	61	-69.5890731632	 Exp 
85	 Q0 	AP891205-0071	62	-69.5994285445	 Exp 
85	 Q0 	AP890509-0275	63	-69.6124460530	 Exp 
85	 Q0 	AP891005-0243	64	-69.6238348003	 Exp 
85	 Q0 	AP891202-0142	65	-69.6281867965	 Exp 
85	 Q0 	AP891222-0200	66	-69.6820942944	 Exp 
85	 Q0 	AP890105-0287	67	-69.6874552775	 Exp 
85	 Q0 	AP890116-0163	68	-69.7019377757	 Exp 
85	 Q0 	AP890809-0019	69	-69.7119151120	 Exp 
85	 Q0 	AP890108-0030	70	-69.7314001924	 Exp 
85	 Q0 	AP890803-0022	71	-69.7536384965	 Exp 
85	 Q0 	AP890624-0028	72	-69.7558995255	 Exp 
85	 Q0 	AP890410-0010	73	-69.7660377192	 Exp 
85	 Q0 	AP891230-0030	74	-69.7716189719	 Exp 
85	 Q0 	AP890516-0104	75	-69.7770345379	 Exp 
85	 Q0 	AP890125-0265	76	-69.7800477308	 Exp 
85	 Q0 	AP890221-0207	77	-69.7910942221	 Exp 
85	 Q0 	AP890726-0212	78	-69.7929741886	 Exp 
85	 Q0 	AP890601-0250	79	-69.7964058762	 Exp 
85	 Q0 	AP890517-0182	80	-69.8055975070	 Exp 
85	 Q0 	AP891031-0190	81	-69.8204736327	 Exp 
85	 Q0 	AP890802-0043	82	-69.8503227965	 Exp 
85	 Q0 	AP890731-0042	83	-69.8508336114	 Exp 
85	 Q0 	AP891027-0091	84	-69.8525069327	 Exp 
85	 Q0 	AP890704-0150	85	-69.8631776313	 Exp 
85	 Q0 	AP890710-0011	86	-69.8631776313	 Exp 
85	 Q0 	AP890720-0157	87	-69.8678093017	 Exp 
85	 Q0 	AP891012-0018	88	-69.8929913107	 Exp 
85	 Q0 	AP890414-0097	89	-69.9232923056	 Exp 
85	 Q0 	AP890315-0010	90	-69.9233962483	 Exp 
85	 Q0 	AP891017-0172	91	-69.9332573843	 Exp 
85	 Q0 	AP890523-0190	92	-69.9368736104	 Exp 
85	 Q0 	AP890125-0095	93	-69.9455899804	 Exp 
85	 Q0 	AP890825-0135	94	-69.9632840211	 Exp 
85	 Q0 	AP890112-0180	95	-69.9633049619	 Exp 
85	 Q0 	AP891113-0023	96	-69.9679633780	 Exp 
85	 Q0 	AP891026-0155	97	-69.9714174201	 Exp 
85	 Q0 	AP890525-0042	98	-69.9778906381	 Exp 
85	 Q0 	AP890424-0135	99	-69.9835125601	 Exp 
85	 Q0 	AP890104-0031	100	-70.0079302086	 Exp 
85	 Q0 	AP890217-0049	101	-70.0153027767	 Exp 
85	 Q0 	AP891011-0208	102	-70.0232656621	 Exp 
85	 Q0 	AP891103-0101	103	-70.0291923968	 Exp 
85	 Q0 	AP890711-0096	104	-70.0312456999	 Exp 
85	 Q0 	AP890509-0031	105	-70.0339933100	 Exp 
85	 Q0 	AP890222-0195	106	-70.0441138714	 Exp 
85	 Q0 	AP890131-0078	107	-70.0519473996	 Exp 
85	 Q0 	AP891221-0239	108	-70.0603941334	 Exp 
85	 Q0 	AP890911-0142	109	-70.0642617080	 Exp 
85	 Q0 	AP890715-0008	110	-70.0742030235	 Exp 
85	 Q0 	AP890109-0132	111	-70.0798307488	 Exp 
85	 Q0 	AP890523-0160	112	-70.0899084409	 Exp 
85	 Q0 	AP890206-0153	113	-70.1101068437	 Exp 
85	 Q0 	AP890906-0183	114	-70.1217828987	 Exp 
85	 Q0 	AP890622-0096	115	-70.1226481958	 Exp 
85	 Q0 	AP891109-0169	116	-70.1229917084	 Exp 
85	 Q0 	AP891230-0081	117	-70.1234798427	 Exp 
85	 Q0 	AP890125-0007	118	-70.1444555282	 Exp 
85	 Q0 	AP890907-0239	119	-70.1574791887	 Exp 
85	 Q0 	AP890424-0079	120	-70.1599043780	 Exp 
85	 Q0 	AP891109-0096	121	-70.1614125987	 Exp 
85	 Q0 	AP890516-0158	122	-70.1739251274	 Exp 
85	 Q0 	AP890503-0199	123	-70.1768648908	 Exp 
85	 Q0 	AP891207-0148	124	-70.1914198241	 Exp 
85	 Q0 	AP891207-0099	125	-70.1957549976	 Exp 
85	 Q0 	AP890302-0209	126	-70.1975572995	 Exp 
85	 Q0 	AP890617-0131	127	-70.1995001513	 Exp 
85	 Q0 	AP890621-0127	128	-70.2291437731	 Exp 
85	 Q0 	AP890228-0141	129	-70.2490249536	 Exp 
85	 Q0 	AP891116-0177	130	-70.2580963590	 Exp 
85	 Q0 	AP890418-0038	131	-70.2956282393	 Exp 
85	 Q0 	AP890322-0259	132	-70.3079846793	 Exp 
85	 Q0 	AP891104-0090	133	-70.3107862223	 Exp 
85	 Q0 	AP890721-0159	134	-70.3328634845	 Exp 
85	 Q0 	AP890129-0035	135	-70.3510993078	 Exp 
85	 Q0 	AP891101-0071	136	-70.3629953544	 Exp 
85	 Q0 	AP891023-0173	137	-70.3650712390	 Exp 
85	 Q0 	AP890615-0265	138	-70.3687989026	 Exp 
85	 Q0 	AP890713-0203	139	-70.3712590361	 Exp 
85	 Q0 	AP890623-0035	140	-70.3733584230	 Exp 
85	 Q0 	AP890615-0143	141	-70.3823728491	 Exp 
85	 Q0 	AP890517-0280	142	-70.4078066313	 Exp 
85	 Q0 	AP890919-0212	143	-70.4170221272	 Exp 
85	 Q0 	AP890601-0128	144	-70.4225749026	 Exp 
85	 Q0 	AP890206-0087	145	-70.4298048643	 Exp 
85	 Q0 	AP890313-0224	146	-70.4396490334	 Exp 
85	 Q0 	AP890713-0174	147	-70.4587427556	 Exp 
85	 Q0 	AP891027-0178	148	-70.4702642272	 Exp 
85	 Q0 	AP890221-0078	149	-70.4709249149	 Exp 
85	 Q0 	AP891023-0145	150	-70.4710127846	 Exp 
85	 Q0 	AP891226-0086	151	-70.4720999058	 Exp 
85	 Q0 	AP890228-0093	152	-70.4892605902	 Exp 
85	 Q0 	AP890904-0081	153	-70.4907044670	 Exp 
85	 Q0 	AP891013-0120	154	-70.4962152619	 Exp 
85	 Q0 	AP890622-0033	155	-70.5005543278	 Exp 
85	 Q0 	AP890620-0122	156	-70.5168814209	 Exp 
85	 Q0 	AP890923-0106	157	-70.5193973316	 Exp 
85	 Q0 	AP890125-0024	158	-70.5295123880	 Exp 
85	 Q0 	AP890124-0165	159	-70.5364795557	 Exp 
