85	 Q0 	AP890912-0198	1	-49.4047989521	 Exp 
85	 Q0 	AP890915-0075	2	-49.4065924651	 Exp 
85	 Q0 	AP890704-0150	3	-49.5014407605	 Exp 
85	 Q0 	AP890710-0011	4	-49.5014407605	 Exp 
85	 Q0 	AP890302-0132	5	-49.5304581865	 Exp 
85	 Q0 	AP890518-0050	6	-49.5680293029	 Exp 
85	 Q0 	AP890220-0143	7	-49.6244712179	 Exp 
85	 Q0 	AP890516-0104	8	-49.6565916600	 Exp 
85	 Q0 	AP890108-0030	9	-49.7099345898	 Exp 
85	 Q0 	AP891209-0064	10	-49.7543049507	 Exp 
85	 Q0 	AP890412-0196	11	-49.7631548988	 Exp 
85	 Q0 	AP890116-0163	12	-49.7672208595	 Exp 
85	 Q0 	AP891207-0148	13	-49.7698726385	 Exp 
85	 Q0 	AP890223-0032	14	-49.7826257384	 Exp 
85	 Q0 	AP890107-0080	15	-49.7864694186	 Exp 
85	 Q0 	AP890620-0122	16	-49.8628047220	 Exp 
85	 Q0 	AP891013-0120	17	-49.8647878861	 Exp 
85	 Q0 	AP890209-0040	18	-49.8771743373	 Exp 
85	 Q0 	AP891102-0229	19	-49.8838171035	 Exp 
85	 Q0 	AP891106-0059	20	-49.8839386712	 Exp 
85	 Q0 	AP890622-0096	21	-49.9069073031	 Exp 
85	 Q0 	AP890731-0042	22	-49.9125944237	 Exp 
85	 Q0 	AP890322-0259	23	-49.9182517222	 Exp 
85	 Q0 	AP890919-0162	24	-49.9592037273	 Exp 
85	 Q0 	AP891205-0163	25	-49.9737250839	 Exp 
85	 Q0 	AP890417-0158	26	-49.9909187268	 Exp 
85	 Q0 	AP890516-0199	27	-49.9913565604	 Exp 
85	 Q0 	AP891012-0293	28	-50.0033791463	 Exp 
85	 Q0 	AP890324-0039	29	-50.0046935232	 Exp 
85	 Q0 	AP890417-0030	30	-50.0227871695	 Exp 
85	 Q0 	AP890410-0010	31	-50.0544342916	 Exp 
85	 Q0 	AP890105-0199	32	-50.0547264163	 Exp 
85	 Q0 	AP890125-0007	33	-50.0547751019	 Exp 
85	 Q0 	AP890723-0023	34	-50.0565030850	 Exp 
85	 Q0 	AP890710-0119	35	-50.0851887485	 Exp 
85	 Q0 	AP890710-0036	36	-50.1125236157	 Exp 
85	 Q0 	AP891020-0233	37	-50.1146410272	 Exp 
85	 Q0 	AP890921-0204	38	-50.1154682409	 Exp 
85	 Q0 	AP890521-0093	39	-50.1189699884	 Exp 
85	 Q0 	AP890522-0129	40	-50.1314970458	 Exp 
85	 Q0 	AP891204-0155	41	-50.1664991242	 Exp 
85	 Q0 	AP890516-0158	42	-50.1795434367	 Exp 
85	 Q0 	AP891213-0271	43	-50.1860383158	 Exp 
85	 Q0 	AP891111-0095	44	-50.1871014073	 Exp 
85	 Q0 	AP890515-0088	45	-50.1952576318	 Exp 
85	 Q0 	AP890525-0042	46	-50.2109462042	 Exp 
85	 Q0 	AP891215-0244	47	-50.2138434730	 Exp 
85	 Q0 	AP890615-0143	48	-50.2212785637	 Exp 
85	 Q0 	AP890322-0256	49	-50.2264855238	 Exp 
85	 Q0 	AP890221-0207	50	-50.2296734081	 Exp 
85	 Q0 	AP890520-0007	51	-50.2299899377	 Exp 
85	 Q0 	AP890124-0189	52	-50.2316209170	 Exp 
85	 Q0 	AP890413-0055	53	-50.2316209170	 Exp 
85	 Q0 	AP890206-0065	54	-50.2347837575	 Exp 
85	 Q0 	AP891202-0120	55	-50.2355376334	 Exp 
85	 Q0 	AP890617-0131	56	-50.2388920097	 Exp 
85	 Q0 	AP890125-0265	57	-50.2577264809	 Exp 
85	 Q0 	AP890509-0275	58	-50.2588463990	 Exp 
85	 Q0 	AP890125-0024	59	-50.2596496406	 Exp 
85	 Q0 	AP890107-0095	60	-50.2600147013	 Exp 
85	 Q0 	AP890107-0037	61	-50.2613773236	 Exp 
85	 Q0 	AP890904-0081	62	-50.2670723624	 Exp 
85	 Q0 	AP890705-0049	63	-50.2701395686	 Exp 
85	 Q0 	AP890516-0020	64	-50.2891260686	 Exp 
85	 Q0 	AP890714-0124	65	-50.2891260686	 Exp 
85	 Q0 	AP890712-0059	66	-50.2892234320	 Exp 
85	 Q0 	AP890315-0167	67	-50.2910485925	 Exp 
85	 Q0 	AP891002-0245	68	-50.2913892041	 Exp 
85	 Q0 	AP890425-0085	69	-50.3041170041	 Exp 
85	 Q0 	AP890516-0072	70	-50.3069793516	 Exp 
85	 Q0 	AP890315-0056	71	-50.3379789589	 Exp 
85	 Q0 	AP891228-0136	72	-50.3437444636	 Exp 
85	 Q0 	AP890726-0212	73	-50.3512506378	 Exp 
85	 Q0 	AP890122-0062	74	-50.3526881222	 Exp 
85	 Q0 	AP890120-0071	75	-50.3530291504	 Exp 
85	 Q0 	AP891101-0036	76	-50.3535893528	 Exp 
85	 Q0 	AP891207-0102	77	-50.3543686446	 Exp 
85	 Q0 	AP890104-0031	78	-50.3547825866	 Exp 
85	 Q0 	AP890711-0160	79	-50.3548312830	 Exp 
85	 Q0 	AP890819-0056	80	-50.3549043267	 Exp 
85	 Q0 	AP890313-0224	81	-50.3555129761	 Exp 
85	 Q0 	AP890209-0152	82	-50.3571194008	 Exp 
85	 Q0 	AP891116-0078	83	-50.3573140786	 Exp 
85	 Q0 	AP890125-0242	84	-50.3574600812	 Exp 
85	 Q0 	AP890208-0035	85	-50.3576547437	 Exp 
85	 Q0 	AP891121-0022	86	-50.3648511294	 Exp 
85	 Q0 	AP890428-0084	87	-50.3671144354	 Exp 
85	 Q0 	AP890323-0196	88	-50.3677717767	 Exp 
85	 Q0 	AP890823-0093	89	-50.3702298385	 Exp 
85	 Q0 	AP890221-0159	90	-50.4024762642	 Exp 
85	 Q0 	AP890125-0162	91	-50.4083449285	 Exp 
85	 Q0 	AP891130-0073	92	-50.4089289258	 Exp 
85	 Q0 	AP890831-0108	93	-50.4134805787	 Exp 
85	 Q0 	AP891004-0091	94	-50.4138700718	 Exp 
85	 Q0 	AP890727-0175	95	-50.4146976285	 Exp 
85	 Q0 	AP890916-0103	96	-50.4148679883	 Exp 
85	 Q0 	AP890823-0084	97	-50.4153303597	 Exp 
85	 Q0 	AP890520-0131	98	-50.4153546937	 Exp 
85	 Q0 	AP890808-0004	99	-50.4168631337	 Exp 
85	 Q0 	AP890410-0119	100	-50.4192706861	 Exp 
85	 Q0 	AP890417-0083	101	-50.4197325890	 Exp 
85	 Q0 	AP890202-0229	102	-50.4305049878	 Exp 
85	 Q0 	AP890304-0129	103	-50.4323321857	 Exp 
85	 Q0 	AP890418-0038	104	-50.4327218885	 Exp 
85	 Q0 	AP890522-0097	105	-50.4337203422	 Exp 
85	 Q0 	AP891012-0018	106	-50.4340368771	 Exp 
85	 Q0 	AP890129-0035	107	-50.4341829624	 Exp 
85	 Q0 	AP890904-0058	108	-50.4345481541	 Exp 
85	 Q0 	AP890921-0154	109	-50.4353758082	 Exp 
85	 Q0 	AP891121-0145	110	-50.4359112651	 Exp 
85	 Q0 	AP891211-0013	111	-50.4361302967	 Exp 
85	 Q0 	AP891130-0125	112	-50.4364223215	 Exp 
85	 Q0 	AP890919-0084	113	-50.4369576494	 Exp 
85	 Q0 	AP890706-0103	114	-50.4370063123	 Exp 
85	 Q0 	AP890702-0068	115	-50.4371522977	 Exp 
85	 Q0 	AP890316-0268	116	-50.4373469373	 Exp 
85	 Q0 	AP890129-0009	117	-50.4376388804	 Exp 
85	 Q0 	AP891203-0012	118	-50.4385875598	 Exp 
85	 Q0 	AP891204-0112	119	-50.4389037402	 Exp 
85	 Q0 	AP890310-0260	120	-50.4402654851	 Exp 
85	 Q0 	AP890131-0031	121	-50.4596152557	 Exp 
85	 Q0 	AP891121-0154	122	-50.4644626870	 Exp 
85	 Q0 	AP890222-0122	123	-50.4649252243	 Exp 
85	 Q0 	AP890721-0017	124	-50.4658988259	 Exp 
85	 Q0 	AP891026-0252	125	-50.4664585480	 Exp 
85	 Q0 	AP890826-0062	126	-50.4666532171	 Exp 
85	 Q0 	AP890724-0073	127	-50.4764817827	 Exp 
85	 Q0 	AP891031-0163	128	-50.4784550236	 Exp 
85	 Q0 	AP890714-0145	129	-50.4801352257	 Exp 
85	 Q0 	AP890725-0261	130	-50.4808168614	 Exp 
85	 Q0 	AP891215-0157	131	-50.4808898875	 Exp 
85	 Q0 	AP890301-0215	132	-50.4814740517	 Exp 
85	 Q0 	AP890823-0148	133	-50.4817174303	 Exp 
85	 Q0 	AP890506-0088	134	-50.4818877872	 Exp 
85	 Q0 	AP890107-0086	135	-50.4824231511	 Exp 
85	 Q0 	AP890802-0195	136	-50.4829341187	 Exp 
85	 Q0 	AP890621-0078	137	-50.4830557688	 Exp 
85	 Q0 	AP891025-0137	138	-50.4834693536	 Exp 
85	 Q0 	AP891227-0067	139	-50.4851719351	 Exp 
85	 Q0 	AP890728-0062	140	-50.4914444338	 Exp 
85	 Q0 	AP890419-0264	141	-50.4933920956	 Exp 
85	 Q0 	AP890719-0204	142	-50.4989595642	 Exp 
85	 Q0 	AP891208-0002	143	-50.5132668188	 Exp 
85	 Q0 	AP890212-0024	144	-50.5160172358	 Exp 
85	 Q0 	AP890511-0114	145	-50.5236473929	 Exp 
85	 Q0 	AP890723-0078	146	-50.5243463909	 Exp 
