85	 Q0 	AP890220-0143	1	8.3220567107	 Exp 
85	 Q0 	AP890915-0075	2	7.7559494141	 Exp 
85	 Q0 	AP890724-0073	3	7.5087933760	 Exp 
85	 Q0 	AP890721-0159	4	7.3656961052	 Exp 
85	 Q0 	AP890412-0196	5	7.3479720036	 Exp 
85	 Q0 	AP890401-0001	6	7.2813066380	 Exp 
85	 Q0 	AP890314-0022	7	7.1084961868	 Exp 
85	 Q0 	AP890221-0159	8	6.9201291484	 Exp 
85	 Q0 	AP890520-0007	9	6.8825174637	 Exp 
85	 Q0 	AP891111-0095	10	6.7361855328	 Exp 
85	 Q0 	AP891209-0064	11	6.7152929769	 Exp 
85	 Q0 	AP890518-0050	12	6.6976738065	 Exp 
85	 Q0 	AP891212-0162	13	6.6870422285	 Exp 
85	 Q0 	AP890525-0031	14	6.6710812111	 Exp 
85	 Q0 	AP890301-0215	15	6.6242284965	 Exp 
85	 Q0 	AP890122-0062	16	6.5838887133	 Exp 
85	 Q0 	AP890302-0026	17	6.5628767757	 Exp 
85	 Q0 	AP890320-0079	18	6.5618393327	 Exp 
85	 Q0 	AP891011-0056	19	6.4622441392	 Exp 
85	 Q0 	AP890527-0048	20	6.4307152598	 Exp 
85	 Q0 	AP890522-0129	21	6.3774334007	 Exp 
85	 Q0 	AP890223-0032	22	6.3656620860	 Exp 
85	 Q0 	AP890209-0040	23	6.3537238091	 Exp 
85	 Q0 	AP890131-0031	24	6.3354286931	 Exp 
85	 Q0 	AP890314-0133	25	6.1763910387	 Exp 
85	 Q0 	AP890530-0167	26	6.1556572307	 Exp 
85	 Q0 	AP890704-0150	27	6.1398836925	 Exp 
85	 Q0 	AP890710-0011	28	6.1398836925	 Exp 
85	 Q0 	AP890314-0223	29	6.1011804883	 Exp 
85	 Q0 	AP890108-0030	30	6.0967969011	 Exp 
85	 Q0 	AP890214-0122	31	6.0720893388	 Exp 
85	 Q0 	AP890912-0198	32	6.0390360852	 Exp 
85	 Q0 	AP891212-0058	33	6.0208840325	 Exp 
85	 Q0 	AP891206-0127	34	6.0122406671	 Exp 
85	 Q0 	AP890107-0129	35	6.0056691926	 Exp 
85	 Q0 	AP890307-0244	36	5.9738998528	 Exp 
85	 Q0 	AP890206-0065	37	5.9615954826	 Exp 
85	 Q0 	AP890516-0072	38	5.9546976388	 Exp 
85	 Q0 	AP890811-0076	39	5.9386215210	 Exp 
85	 Q0 	AP890310-0224	40	5.9320971797	 Exp 
85	 Q0 	AP890808-0004	41	5.9177271075	 Exp 
85	 Q0 	AP890516-0104	42	5.9096615408	 Exp 
85	 Q0 	AP890509-0275	43	5.8989658340	 Exp 
85	 Q0 	AP890116-0163	44	5.8807775157	 Exp 
85	 Q0 	AP890516-0158	45	5.8651339411	 Exp 
85	 Q0 	AP890517-0182	46	5.8587322432	 Exp 
85	 Q0 	AP890125-0265	47	5.8569677933	 Exp 
85	 Q0 	AP890511-0074	48	5.8463521067	 Exp 
85	 Q0 	AP890125-0007	49	5.8346443782	 Exp 
85	 Q0 	AP891205-0128	50	5.8345939179	 Exp 
85	 Q0 	AP890118-0229	51	5.8118127911	 Exp 
85	 Q0 	AP891207-0148	52	5.8099179694	 Exp 
85	 Q0 	AP890628-0156	53	5.8023859329	 Exp 
85	 Q0 	AP890503-0182	54	5.7905635524	 Exp 
85	 Q0 	AP891004-0162	55	5.7861880151	 Exp 
85	 Q0 	AP890410-0010	56	5.7453082597	 Exp 
85	 Q0 	AP890731-0042	57	5.7107881009	 Exp 
85	 Q0 	AP890916-0058	58	5.7070948859	 Exp 
85	 Q0 	AP890123-0065	59	5.6904826510	 Exp 
85	 Q0 	AP890323-0140	60	5.6713186978	 Exp 
85	 Q0 	AP890621-0127	61	5.6224075466	 Exp 
85	 Q0 	AP890720-0157	62	5.6130858847	 Exp 
85	 Q0 	AP891202-0142	63	5.6113873715	 Exp 
85	 Q0 	AP890601-0250	64	5.5976920981	 Exp 
85	 Q0 	AP890705-0130	65	5.5908415585	 Exp 
85	 Q0 	AP890515-0006	66	5.5830848382	 Exp 
85	 Q0 	AP891230-0081	67	5.5681877093	 Exp 
85	 Q0 	AP891205-0071	68	5.5681504539	 Exp 
85	 Q0 	AP891221-0133	69	5.5563421746	 Exp 
85	 Q0 	AP890125-0134	70	5.5560654879	 Exp 
85	 Q0 	AP891026-0155	71	5.5461277539	 Exp 
85	 Q0 	AP890718-0237	72	5.5443986474	 Exp 
85	 Q0 	AP890503-0199	73	5.5315013112	 Exp 
85	 Q0 	AP890221-0207	74	5.5313436591	 Exp 
85	 Q0 	AP891230-0030	75	5.5222135703	 Exp 
85	 Q0 	AP891208-0062	76	5.5206114724	 Exp 
85	 Q0 	AP890131-0078	77	5.5099192392	 Exp 
85	 Q0 	AP891013-0120	78	5.4976296581	 Exp 
85	 Q0 	AP890414-0097	79	5.4847009328	 Exp 
85	 Q0 	AP890824-0097	80	5.4756204216	 Exp 
85	 Q0 	AP890509-0031	81	5.4743596556	 Exp 
85	 Q0 	AP890819-0056	82	5.4712167022	 Exp 
85	 Q0 	AP890906-0153	83	5.4538004187	 Exp 
85	 Q0 	AP890418-0038	84	5.4498905535	 Exp 
85	 Q0 	AP890713-0135	85	5.4422603133	 Exp 
85	 Q0 	AP890222-0122	86	5.4415668665	 Exp 
85	 Q0 	AP890112-0180	87	5.4311999495	 Exp 
85	 Q0 	AP890105-0287	88	5.4270276288	 Exp 
85	 Q0 	AP890525-0042	89	5.4253570844	 Exp 
85	 Q0 	AP890425-0269	90	5.4244454024	 Exp 
85	 Q0 	AP891205-0163	91	5.4191341812	 Exp 
85	 Q0 	AP890622-0096	92	5.4010467476	 Exp 
85	 Q0 	AP890104-0031	93	5.3998911763	 Exp 
85	 Q0 	AP890107-0080	94	5.3871867538	 Exp 
85	 Q0 	AP890620-0122	95	5.3730560068	 Exp 
85	 Q0 	AP891027-0091	96	5.3714550464	 Exp 
85	 Q0 	AP890120-0071	97	5.3709701652	 Exp 
85	 Q0 	AP890123-0314	98	5.3696151243	 Exp 
85	 Q0 	AP890615-0143	99	5.3686330898	 Exp 
85	 Q0 	AP890407-0042	100	5.3647265177	 Exp 
85	 Q0 	AP890313-0224	101	5.3587786409	 Exp 
85	 Q0 	AP890129-0035	102	5.3565825285	 Exp 
85	 Q0 	AP890523-0160	103	5.3560685602	 Exp 
85	 Q0 	AP890417-0030	104	5.3471390148	 Exp 
85	 Q0 	AP890208-0012	105	5.3414091424	 Exp 
85	 Q0 	AP890825-0044	106	5.3381646454	 Exp 
85	 Q0 	AP891213-0271	107	5.3380528824	 Exp 
85	 Q0 	AP891023-0145	108	5.3376649007	 Exp 
85	 Q0 	AP890822-0054	109	5.3252033052	 Exp 
85	 Q0 	AP891219-0013	110	5.3188213991	 Exp 
85	 Q0 	AP890825-0135	111	5.3069197894	 Exp 
85	 Q0 	AP890107-0095	112	5.2998145913	 Exp 
85	 Q0 	AP890203-0243	113	5.2955878541	 Exp 
85	 Q0 	AP891002-0245	114	5.2894385190	 Exp 
85	 Q0 	AP891113-0023	115	5.2867665057	 Exp 
85	 Q0 	AP891017-0098	116	5.2712015195	 Exp 
85	 Q0 	AP890315-0167	117	5.2669536813	 Exp 
85	 Q0 	AP890315-0010	118	5.2575198337	 Exp 
85	 Q0 	AP891222-0200	119	5.2456832888	 Exp 
85	 Q0 	AP890127-0050	120	5.2409369703	 Exp 
85	 Q0 	AP890513-0036	121	5.2398430517	 Exp 
85	 Q0 	AP890713-0174	122	5.2242949673	 Exp 
85	 Q0 	AP890911-0142	123	5.2195792604	 Exp 
85	 Q0 	AP890531-0194	124	5.2123811650	 Exp 
85	 Q0 	AP890425-0137	125	5.2066230057	 Exp 
85	 Q0 	AP890711-0160	126	5.1962458456	 Exp 
85	 Q0 	AP891225-0110	127	5.1687574551	 Exp 
85	 Q0 	AP891208-0002	128	5.1624074658	 Exp 
85	 Q0 	AP891103-0101	129	5.1593832994	 Exp 
85	 Q0 	AP890302-0209	130	5.1561444192	 Exp 
85	 Q0 	AP890919-0212	131	5.1521654806	 Exp 
85	 Q0 	AP890125-0095	132	5.1435435750	 Exp 
85	 Q0 	AP890504-0024	133	5.1316669804	 Exp 
85	 Q0 	AP890726-0212	134	5.1302649886	 Exp 
85	 Q0 	AP890923-0080	135	5.1190635390	 Exp 
85	 Q0 	AP890309-0205	136	5.1186156477	 Exp 
85	 Q0 	AP890921-0085	137	5.1145238799	 Exp 
85	 Q0 	AP890602-0009	138	5.1083987375	 Exp 
85	 Q0 	AP890804-0147	139	5.1077722239	 Exp 
85	 Q0 	AP890216-0050	140	5.1077658471	 Exp 
85	 Q0 	AP890517-0280	141	5.1061124097	 Exp 
85	 Q0 	AP890217-0049	142	5.0852742278	 Exp 
85	 Q0 	AP890923-0106	143	5.0767245751	 Exp 
85	 Q0 	AP890624-0028	144	5.0723550100	 Exp 
85	 Q0 	AP890802-0043	145	5.0656819269	 Exp 
85	 Q0 	AP890904-0081	146	5.0638316451	 Exp 
85	 Q0 	AP890424-0135	147	5.0593120997	 Exp 
85	 Q0 	AP890316-0243	148	5.0592707643	 Exp 
85	 Q0 	AP891226-0086	149	5.0578933985	 Exp 
85	 Q0 	AP890413-0055	150	5.0558906890	 Exp 
85	 Q0 	AP891102-0229	151	5.0543748759	 Exp 
85	 Q0 	AP890803-0022	152	5.0481404951	 Exp 
85	 Q0 	AP891106-0059	153	5.0361353442	 Exp 
85	 Q0 	AP890221-0078	154	5.0351357724	 Exp 
85	 Q0 	AP890726-0137	155	5.0314270530	 Exp 
85	 Q0 	AP890124-0165	156	4.9999757323	 Exp 
85	 Q0 	AP890530-0201	157	4.9990111588	 Exp 
85	 Q0 	AP891011-0208	158	4.9903590006	 Exp 
85	 Q0 	AP890516-0199	159	4.9902565837	 Exp 
85	 Q0 	AP890206-0153	160	4.9842933263	 Exp 
85	 Q0 	AP890116-0144	161	4.9763766897	 Exp 
85	 Q0 	AP891124-0105	162	4.9626015468	 Exp 
85	 Q0 	AP890109-0132	163	4.9622085413	 Exp 
85	 Q0 	AP891211-0013	164	4.9604603888	 Exp 
85	 Q0 	AP891020-0162	165	4.9577051348	 Exp 
85	 Q0 	AP890809-0019	166	4.9490803250	 Exp 
85	 Q0 	AP890914-0001	167	4.9467947099	 Exp 
85	 Q0 	AP890819-0113	168	4.9316530390	 Exp 
85	 Q0 	AP890729-0040	169	4.9286871938	 Exp 
85	 Q0 	AP890712-0059	170	4.9277910756	 Exp 
85	 Q0 	AP890704-0151	171	4.9168880635	 Exp 
85	 Q0 	AP890710-0012	172	4.9168880635	 Exp 
85	 Q0 	AP890121-0118	173	4.9084522602	 Exp 
85	 Q0 	AP890519-0255	174	4.9071999005	 Exp 
85	 Q0 	AP890109-0072	175	4.9059848739	 Exp 
85	 Q0 	AP890424-0079	176	4.9029072891	 Exp 
85	 Q0 	AP891012-0018	177	4.8925163259	 Exp 
85	 Q0 	AP890621-0143	178	4.8916189795	 Exp 
85	 Q0 	AP890906-0183	179	4.8915266637	 Exp 
85	 Q0 	AP890424-0034	180	4.8903310158	 Exp 
85	 Q0 	AP890723-0023	181	4.8859685879	 Exp 
85	 Q0 	AP890710-0036	182	4.8836225243	 Exp 
85	 Q0 	AP891005-0243	183	4.8756701081	 Exp 
85	 Q0 	AP891213-0175	184	4.8700249932	 Exp 
85	 Q0 	AP890915-0144	185	4.8643912215	 Exp 
85	 Q0 	AP890517-0287	186	4.8598734429	 Exp 
85	 Q0 	AP891012-0293	187	4.8551238892	 Exp 
85	 Q0 	AP890118-0150	188	4.8543765121	 Exp 
85	 Q0 	AP890523-0044	189	4.8504393415	 Exp 
85	 Q0 	AP890725-0142	190	4.8380995086	 Exp 
85	 Q0 	AP891031-0190	191	4.8342074503	 Exp 
85	 Q0 	AP890807-0158	192	4.8332585985	 Exp 
85	 Q0 	AP890125-0242	193	4.8330702012	 Exp 
85	 Q0 	AP890621-0007	194	4.8318339522	 Exp 
85	 Q0 	AP890316-0157	195	4.8314376271	 Exp 
85	 Q0 	AP891215-0244	196	4.8303206489	 Exp 
85	 Q0 	AP891116-0113	197	4.8249104590	 Exp 
85	 Q0 	AP890322-0259	198	4.8087000274	 Exp 
85	 Q0 	AP890504-0098	199	4.8032770753	 Exp 
85	 Q0 	AP890410-0081	200	4.8006348068	 Exp 
85	 Q0 	AP891207-0027	201	4.7986029158	 Exp 
85	 Q0 	AP890314-0201	202	4.7894048029	 Exp 
85	 Q0 	AP890921-0097	203	4.7886880296	 Exp 
85	 Q0 	AP891009-0070	204	4.7879328925	 Exp 
85	 Q0 	AP890921-0204	205	4.7846673544	 Exp 
85	 Q0 	AP891027-0178	206	4.7827906579	 Exp 
85	 Q0 	AP891017-0172	207	4.7827166217	 Exp 
85	 Q0 	AP891116-0177	208	4.7787180207	 Exp 
85	 Q0 	AP890315-0056	209	4.7782047043	 Exp 
85	 Q0 	AP890715-0008	210	4.7766720813	 Exp 
85	 Q0 	AP891004-0078	211	4.7729301619	 Exp 
85	 Q0 	AP890208-0025	212	4.7728393834	 Exp 
85	 Q0 	AP891204-0155	213	4.7724912658	 Exp 
85	 Q0 	AP890727-0112	214	4.7652875817	 Exp 
85	 Q0 	AP891209-0042	215	4.7609394237	 Exp 
85	 Q0 	AP890106-0119	216	4.7597880557	 Exp 
85	 Q0 	AP890206-0087	217	4.7593341017	 Exp 
85	 Q0 	AP890914-0168	218	4.7572440715	 Exp 
85	 Q0 	AP890714-0124	219	4.7511686725	 Exp 
85	 Q0 	AP890306-0061	220	4.7444611094	 Exp 
85	 Q0 	AP890711-0096	221	4.7316183385	 Exp 
85	 Q0 	AP891207-0102	222	4.7265920526	 Exp 
85	 Q0 	AP890413-0182	223	4.7248800134	 Exp 
85	 Q0 	AP890922-0089	224	4.7162799848	 Exp 
85	 Q0 	AP890710-0119	225	4.7147382045	 Exp 
85	 Q0 	AP890118-0177	226	4.7123068724	 Exp 
85	 Q0 	AP891101-0036	227	4.7122039882	 Exp 
85	 Q0 	AP891215-0157	228	4.7120560097	 Exp 
85	 Q0 	AP890428-0072	229	4.7095048694	 Exp 
85	 Q0 	AP890303-0139	230	4.7025890883	 Exp 
85	 Q0 	AP891106-0081	231	4.6989384194	 Exp 
85	 Q0 	AP891028-0077	232	4.6955098652	 Exp 
85	 Q0 	AP890217-0035	233	4.6866663555	 Exp 
85	 Q0 	AP890907-0239	234	4.6854988153	 Exp 
85	 Q0 	AP890919-0162	235	4.6851671267	 Exp 
85	 Q0 	AP891101-0071	236	4.6769227686	 Exp 
85	 Q0 	AP890304-0129	237	4.6750000215	 Exp 
85	 Q0 	AP891123-0158	238	4.6681635324	 Exp 
85	 Q0 	AP890107-0037	239	4.6658133820	 Exp 
85	 Q0 	AP890919-0152	240	4.6600455076	 Exp 
85	 Q0 	AP890425-0085	241	4.6571541114	 Exp 
85	 Q0 	AP890208-0114	242	4.6472149056	 Exp 
85	 Q0 	AP890127-0128	243	4.6470275228	 Exp 
85	 Q0 	AP891221-0239	244	4.6409237824	 Exp 
85	 Q0 	AP891031-0163	245	4.6397213438	 Exp 
85	 Q0 	AP891202-0120	246	4.6391834086	 Exp 
85	 Q0 	AP890713-0203	247	4.6373828979	 Exp 
85	 Q0 	AP890315-0078	248	4.6347985790	 Exp 
85	 Q0 	AP891009-0090	249	4.6343927918	 Exp 
85	 Q0 	AP890727-0175	250	4.6304595876	 Exp 
85	 Q0 	AP891025-0083	251	4.6250016064	 Exp 
85	 Q0 	AP891026-0169	252	4.6239852484	 Exp 
85	 Q0 	AP890919-0084	253	4.6239838772	 Exp 
85	 Q0 	AP890228-0141	254	4.6189453451	 Exp 
85	 Q0 	AP891011-0147	255	4.6179329921	 Exp 
85	 Q0 	AP890129-0044	256	4.6171831183	 Exp 
85	 Q0 	AP890829-0220	257	4.6167282577	 Exp 
85	 Q0 	AP890627-0257	258	4.6137793030	 Exp 
85	 Q0 	AP890823-0093	259	4.6136283110	 Exp 
85	 Q0 	AP891107-0005	260	4.6122761137	 Exp 
85	 Q0 	AP890114-0044	261	4.6100732412	 Exp 
85	 Q0 	AP890601-0128	262	4.6088624666	 Exp 
85	 Q0 	AP891114-0142	263	4.6054969584	 Exp 
85	 Q0 	AP891006-0184	264	4.6049509838	 Exp 
85	 Q0 	AP890228-0093	265	4.6041348437	 Exp 
85	 Q0 	AP890117-0052	266	4.6037243438	 Exp 
85	 Q0 	AP890626-0074	267	4.6020400022	 Exp 
85	 Q0 	AP890118-0081	268	4.6015807284	 Exp 
85	 Q0 	AP890706-0226	269	4.5943297360	 Exp 
85	 Q0 	AP891105-0023	270	4.5924293850	 Exp 
85	 Q0 	AP891129-0065	271	4.5920640529	 Exp 
85	 Q0 	AP890226-0079	272	4.5904193298	 Exp 
85	 Q0 	AP890510-0222	273	4.5885114365	 Exp 
85	 Q0 	AP890126-0027	274	4.5854726708	 Exp 
85	 Q0 	AP891123-0040	275	4.5795828318	 Exp 
85	 Q0 	AP890531-0106	276	4.5782213726	 Exp 
85	 Q0 	AP891202-0057	277	4.5776164216	 Exp 
85	 Q0 	AP890304-0097	278	4.5775569443	 Exp 
85	 Q0 	AP891103-0279	279	4.5755120489	 Exp 
85	 Q0 	AP890612-0143	280	4.5754167967	 Exp 
85	 Q0 	AP890612-0288	281	4.5754167967	 Exp 
85	 Q0 	AP890921-0154	282	4.5673465873	 Exp 
85	 Q0 	AP890622-0282	283	4.5654743474	 Exp 
85	 Q0 	AP890218-0067	284	4.5634380540	 Exp 
85	 Q0 	AP890521-0032	285	4.5622821432	 Exp 
85	 Q0 	AP891026-0118	286	4.5613071199	 Exp 
85	 Q0 	AP890318-0003	287	4.5601248522	 Exp 
85	 Q0 	AP890506-0144	288	4.5596535348	 Exp 
85	 Q0 	AP890129-0009	289	4.5595176656	 Exp 
85	 Q0 	AP890328-0167	290	4.5590790235	 Exp 
85	 Q0 	AP891214-0108	291	4.5587982856	 Exp 
85	 Q0 	AP890718-0233	292	4.5580129237	 Exp 
85	 Q0 	AP890626-0261	293	4.5527069515	 Exp 
85	 Q0 	AP891109-0096	294	4.5503786579	 Exp 
85	 Q0 	AP890118-0030	295	4.5468634710	 Exp 
85	 Q0 	AP890210-0228	296	4.5456117265	 Exp 
85	 Q0 	AP890119-0085	297	4.5451452192	 Exp 
85	 Q0 	AP890724-0098	298	4.5410016461	 Exp 
85	 Q0 	AP891012-0063	299	4.5405929821	 Exp 
85	 Q0 	AP891104-0090	300	4.5397588557	 Exp 
85	 Q0 	AP890903-0020	301	4.5349363709	 Exp 
85	 Q0 	AP890522-0059	302	4.5347062791	 Exp 
85	 Q0 	AP890615-0265	303	4.5278318018	 Exp 
85	 Q0 	AP890224-0039	304	4.5262411147	 Exp 
85	 Q0 	AP890302-0132	305	4.5260370736	 Exp 
85	 Q0 	AP891011-0206	306	4.5209495088	 Exp 
85	 Q0 	AP890209-0152	307	4.5178857316	 Exp 
85	 Q0 	AP890628-0086	308	4.5158518255	 Exp 
85	 Q0 	AP891023-0173	309	4.5107356974	 Exp 
85	 Q0 	AP891109-0169	310	4.5104663222	 Exp 
85	 Q0 	AP890314-0198	311	4.5079593960	 Exp 
85	 Q0 	AP890401-0143	312	4.5070996363	 Exp 
85	 Q0 	AP890622-0033	313	4.5070343407	 Exp 
85	 Q0 	AP891208-0021	314	4.5029639280	 Exp 
85	 Q0 	AP890623-0035	315	4.5019899038	 Exp 
85	 Q0 	AP890721-0141	316	4.5018422102	 Exp 
85	 Q0 	AP890705-0049	317	4.5009648070	 Exp 
85	 Q0 	AP890630-0263	318	4.4971868679	 Exp 
85	 Q0 	AP890609-0064	319	4.4934520565	 Exp 
85	 Q0 	AP890719-0043	320	4.4913984115	 Exp 
85	 Q0 	AP891107-0238	321	4.4909176169	 Exp 
85	 Q0 	AP890624-0008	322	4.4875617182	 Exp 
85	 Q0 	AP890728-0026	323	4.4869130624	 Exp 
85	 Q0 	AP890707-0197	324	4.4839757372	 Exp 
85	 Q0 	AP890417-0158	325	4.4838490832	 Exp 
85	 Q0 	AP891229-0078	326	4.4826950295	 Exp 
85	 Q0 	AP891002-0151	327	4.4805905366	 Exp 
85	 Q0 	AP890119-0062	328	4.4801154913	 Exp 
85	 Q0 	AP890824-0176	329	4.4786276803	 Exp 
85	 Q0 	AP891227-0054	330	4.4777862926	 Exp 
85	 Q0 	AP890308-0175	331	4.4749591611	 Exp 
85	 Q0 	AP891213-0068	332	4.4659590115	 Exp 
85	 Q0 	AP890915-0229	333	4.4650731821	 Exp 
85	 Q0 	AP891217-0036	334	4.4633619081	 Exp 
85	 Q0 	AP890728-0062	335	4.4629565676	 Exp 
85	 Q0 	AP890309-0046	336	4.4590114159	 Exp 
85	 Q0 	AP890705-0109	337	4.4567871824	 Exp 
85	 Q0 	AP891204-0112	338	4.4545994048	 Exp 
85	 Q0 	AP890322-0123	339	4.4519262576	 Exp 
85	 Q0 	AP891129-0163	340	4.4500670654	 Exp 
85	 Q0 	AP890612-0114	341	4.4496226094	 Exp 
85	 Q0 	AP890222-0251	342	4.4490867528	 Exp 
85	 Q0 	AP890602-0066	343	4.4477343703	 Exp 
85	 Q0 	AP890617-0131	344	4.4470454337	 Exp 
85	 Q0 	AP890702-0068	345	4.4469001728	 Exp 
85	 Q0 	AP890412-0279	346	4.4466151567	 Exp 
85	 Q0 	AP890228-0188	347	4.4462684835	 Exp 
85	 Q0 	AP890227-0139	348	4.4435228599	 Exp 
85	 Q0 	AP890201-0231	349	4.4413182936	 Exp 
85	 Q0 	AP890622-0145	350	4.4391996187	 Exp 
85	 Q0 	AP891007-0045	351	4.4347034174	 Exp 
85	 Q0 	AP890626-0020	352	4.4287944123	 Exp 
85	 Q0 	AP891128-0108	353	4.4178004034	 Exp 
85	 Q0 	AP891021-0015	354	4.4173952077	 Exp 
85	 Q0 	AP890309-0164	355	4.4124296778	 Exp 
85	 Q0 	AP890130-0163	356	4.4110184355	 Exp 
85	 Q0 	AP890802-0211	357	4.4108311321	 Exp 
85	 Q0 	AP890709-0024	358	4.4102037897	 Exp 
85	 Q0 	AP891121-0061	359	4.4096682936	 Exp 
85	 Q0 	AP890627-0172	360	4.4087019573	 Exp 
85	 Q0 	AP891114-0005	361	4.4033596892	 Exp 
85	 Q0 	AP891108-0007	362	4.4013576322	 Exp 
85	 Q0 	AP890820-0019	363	4.3898629706	 Exp 
85	 Q0 	AP891016-0019	364	4.3806016650	 Exp 
85	 Q0 	AP890109-0080	365	4.3787830168	 Exp 
85	 Q0 	AP890615-0184	366	4.3753210533	 Exp 
85	 Q0 	AP891010-0107	367	4.3723941002	 Exp 
85	 Q0 	AP891013-0129	368	4.3722363697	 Exp 
85	 Q0 	AP890531-0203	369	4.3718484420	 Exp 
85	 Q0 	AP891002-0079	370	4.3714694989	 Exp 
85	 Q0 	AP891220-0076	371	4.3699346423	 Exp 
85	 Q0 	AP890223-0035	372	4.3693351577	 Exp 
85	 Q0 	AP891004-0145	373	4.3635617042	 Exp 
85	 Q0 	AP891221-0026	374	4.3631817367	 Exp 
85	 Q0 	AP890602-0137	375	4.3629072170	 Exp 
85	 Q0 	AP890725-0200	376	4.3610691970	 Exp 
85	 Q0 	AP890221-0082	377	4.3588375017	 Exp 
85	 Q0 	AP891201-0028	378	4.3563016960	 Exp 
85	 Q0 	AP891017-0189	379	4.3548418668	 Exp 
85	 Q0 	AP891018-0067	380	4.3548418668	 Exp 
85	 Q0 	AP891129-0203	381	4.3546451002	 Exp 
