85	 Q0 	AP890220-0143	1	0.0507588952	 Exp 
85	 Q0 	AP890915-0075	2	0.0457113029	 Exp 
85	 Q0 	AP891012-0293	3	0.0453308312	 Exp 
85	 Q0 	AP891102-0229	4	0.0450514741	 Exp 
85	 Q0 	AP891106-0059	5	0.0450500763	 Exp 
85	 Q0 	AP890921-0085	6	0.0447266086	 Exp 
85	 Q0 	AP890314-0133	7	0.0442274198	 Exp 
85	 Q0 	AP891209-0064	8	0.0438304931	 Exp 
85	 Q0 	AP890520-0007	9	0.0436663311	 Exp 
85	 Q0 	AP890711-0160	10	0.0435679747	 Exp 
85	 Q0 	AP890522-0129	11	0.0432425375	 Exp 
85	 Q0 	AP890310-0224	12	0.0430621414	 Exp 
85	 Q0 	AP890131-0031	13	0.0427454128	 Exp 
85	 Q0 	AP890530-0201	14	0.0422733824	 Exp 
85	 Q0 	AP890714-0124	15	0.0420630137	 Exp 
85	 Q0 	AP890727-0112	16	0.0417337369	 Exp 
85	 Q0 	AP890916-0096	17	0.0415076988	 Exp 
85	 Q0 	AP890214-0122	18	0.0414087049	 Exp 
85	 Q0 	AP890513-0036	19	0.0413274540	 Exp 
85	 Q0 	AP890316-0268	20	0.0412332723	 Exp 
85	 Q0 	AP890703-0156	21	0.0411834496	 Exp 
85	 Q0 	AP890221-0159	22	0.0410876246	 Exp 
85	 Q0 	AP890724-0073	23	0.0407121042	 Exp 
85	 Q0 	AP890120-0071	24	0.0406033925	 Exp 
85	 Q0 	AP890704-0150	25	0.0402197188	 Exp 
85	 Q0 	AP890710-0011	26	0.0402197188	 Exp 
85	 Q0 	AP890717-0044	27	0.0398598227	 Exp 
85	 Q0 	AP890209-0040	28	0.0396889530	 Exp 
85	 Q0 	AP890410-0010	29	0.0395528324	 Exp 
85	 Q0 	AP890628-0156	30	0.0393962762	 Exp 
85	 Q0 	AP890516-0104	31	0.0392722211	 Exp 
85	 Q0 	AP890217-0137	32	0.0390270861	 Exp 
85	 Q0 	AP890107-0080	33	0.0389124377	 Exp 
85	 Q0 	AP890306-0061	34	0.0387505360	 Exp 
85	 Q0 	AP890122-0062	35	0.0385859088	 Exp 
85	 Q0 	AP890916-0058	36	0.0385586527	 Exp 
85	 Q0 	AP890525-0031	37	0.0381681762	 Exp 
85	 Q0 	AP891230-0081	38	0.0379190521	 Exp 
85	 Q0 	AP890401-0001	39	0.0378759609	 Exp 
85	 Q0 	AP891219-0013	40	0.0372849127	 Exp 
85	 Q0 	AP890116-0163	41	0.0371143370	 Exp 
85	 Q0 	AP890222-0207	42	0.0369450790	 Exp 
85	 Q0 	AP890626-0150	43	0.0369274382	 Exp 
