85	 Q0 	AP890220-0143	1	-63.5786668792	 Exp 
85	 Q0 	AP890721-0159	2	-65.5256882484	 Exp 
85	 Q0 	AP890221-0159	3	-65.6970233315	 Exp 
85	 Q0 	AP890314-0022	4	-65.8165375416	 Exp 
85	 Q0 	AP890401-0001	5	-65.8261950615	 Exp 
85	 Q0 	AP890724-0073	6	-66.0442468150	 Exp 
85	 Q0 	AP890915-0075	7	-66.1331850174	 Exp 
85	 Q0 	AP890206-0065	8	-66.6298421743	 Exp 
85	 Q0 	AP890520-0007	9	-66.6824804837	 Exp 
85	 Q0 	AP890131-0031	10	-66.7438963419	 Exp 
85	 Q0 	AP890412-0196	11	-66.8392951085	 Exp 
85	 Q0 	AP891111-0095	12	-67.1756819284	 Exp 
85	 Q0 	AP890525-0031	13	-67.1945701413	 Exp 
85	 Q0 	AP890320-0079	14	-67.3569424314	 Exp 
85	 Q0 	AP891212-0162	15	-67.3748543880	 Exp 
85	 Q0 	AP890518-0050	16	-67.4214355994	 Exp 
85	 Q0 	AP890314-0223	17	-67.6010660989	 Exp 
85	 Q0 	AP891221-0133	18	-67.6051924085	 Exp 
85	 Q0 	AP891011-0056	19	-67.6989122905	 Exp 
85	 Q0 	AP891209-0064	20	-67.7198950784	 Exp 
85	 Q0 	AP890301-0215	21	-67.8748980257	 Exp 
85	 Q0 	AP890808-0004	22	-67.9799139755	 Exp 
85	 Q0 	AP890912-0198	23	-68.0720706761	 Exp 
85	 Q0 	AP890209-0040	24	-68.0770601451	 Exp 
85	 Q0 	AP890214-0122	25	-68.1261785071	 Exp 
85	 Q0 	AP890310-0224	26	-68.1705988270	 Exp 
85	 Q0 	AP890122-0062	27	-68.1973563458	 Exp 
85	 Q0 	AP890307-0244	28	-68.2063410014	 Exp 
85	 Q0 	AP890503-0182	29	-68.2437812323	 Exp 
85	 Q0 	AP890425-0269	30	-68.2615383945	 Exp 
85	 Q0 	AP890522-0129	31	-68.3166122583	 Exp 
85	 Q0 	AP890527-0048	32	-68.3179095294	 Exp 
85	 Q0 	AP890222-0122	33	-68.4618521064	 Exp 
85	 Q0 	AP891206-0127	34	-68.4732052127	 Exp 
85	 Q0 	AP890425-0137	35	-68.6422268602	 Exp 
85	 Q0 	AP890314-0133	36	-68.6930389257	 Exp 
85	 Q0 	AP890323-0140	37	-68.7333259472	 Exp 
85	 Q0 	AP890302-0026	38	-68.7439652309	 Exp 
85	 Q0 	AP890811-0076	39	-68.7554344688	 Exp 
85	 Q0 	AP890515-0006	40	-68.7579936332	 Exp 
85	 Q0 	AP890916-0058	41	-68.7705318102	 Exp 
85	 Q0 	AP891205-0128	42	-68.8767318047	 Exp 
85	 Q0 	AP890120-0071	43	-69.0305113279	 Exp 
85	 Q0 	AP891208-0062	44	-69.0910901437	 Exp 
85	 Q0 	AP891212-0058	45	-69.1595816642	 Exp 
85	 Q0 	AP890509-0275	46	-69.1686008815	 Exp 
85	 Q0 	AP890628-0156	47	-69.2244801839	 Exp 
85	 Q0 	AP891219-0013	48	-69.2860868340	 Exp 
85	 Q0 	AP890822-0054	49	-69.3014245727	 Exp 
85	 Q0 	AP890410-0010	50	-69.3148912617	 Exp 
85	 Q0 	AP890516-0104	51	-69.3214586364	 Exp 
85	 Q0 	AP890223-0032	52	-69.3412005549	 Exp 
85	 Q0 	AP890107-0129	53	-69.3443876013	 Exp 
85	 Q0 	AP890530-0167	54	-69.3463878475	 Exp 
85	 Q0 	AP890203-0243	55	-69.3646645292	 Exp 
85	 Q0 	AP890125-0265	56	-69.3712535088	 Exp 
85	 Q0 	AP890116-0163	57	-69.4030737442	 Exp 
85	 Q0 	AP890123-0065	58	-69.4474450960	 Exp 
85	 Q0 	AP890118-0229	59	-69.4763257194	 Exp 
85	 Q0 	AP891207-0148	60	-69.5082387403	 Exp 
85	 Q0 	AP890125-0134	61	-69.5141495011	 Exp 
85	 Q0 	AP890731-0042	62	-69.5158490532	 Exp 
85	 Q0 	AP890104-0031	63	-69.5555148320	 Exp 
85	 Q0 	AP890705-0130	64	-69.5698881374	 Exp 
85	 Q0 	AP891026-0155	65	-69.5756917675	 Exp 
85	 Q0 	AP891004-0162	66	-69.5843957855	 Exp 
85	 Q0 	AP890824-0097	67	-69.5855025589	 Exp 
85	 Q0 	AP890516-0072	68	-69.6107317091	 Exp 
85	 Q0 	AP890504-0024	69	-69.6110025243	 Exp 
85	 Q0 	AP890602-0009	70	-69.6195964847	 Exp 
85	 Q0 	AP890511-0074	71	-69.6264550556	 Exp 
85	 Q0 	AP890906-0153	72	-69.6570763434	 Exp 
85	 Q0 	AP890704-0150	73	-69.6697109792	 Exp 
85	 Q0 	AP890710-0011	74	-69.6697109792	 Exp 
85	 Q0 	AP891202-0142	75	-69.6944091490	 Exp 
85	 Q0 	AP890105-0287	76	-69.7729757321	 Exp 
85	 Q0 	AP891230-0081	77	-69.7999817067	 Exp 
85	 Q0 	AP890221-0207	78	-69.8184091868	 Exp 
85	 Q0 	AP891230-0030	79	-69.8318545541	 Exp 
85	 Q0 	AP890809-0019	80	-69.8522298099	 Exp 
85	 Q0 	AP890713-0135	81	-69.8528296606	 Exp 
85	 Q0 	AP890407-0042	82	-69.8562856736	 Exp 
85	 Q0 	AP890601-0250	83	-69.8721476783	 Exp 
85	 Q0 	AP891103-0101	84	-69.8770714731	 Exp 
85	 Q0 	AP890125-0095	85	-69.9714839175	 Exp 
85	 Q0 	AP890316-0243	86	-69.9921171095	 Exp 
85	 Q0 	AP890617-0131	87	-70.0116772846	 Exp 
85	 Q0 	AP890509-0031	88	-70.0217552270	 Exp 
85	 Q0 	AP890921-0097	89	-70.0332937836	 Exp 
85	 Q0 	AP891027-0091	90	-70.0348882259	 Exp 
85	 Q0 	AP890517-0182	91	-70.0663003369	 Exp 
85	 Q0 	AP891012-0018	92	-70.1009120014	 Exp 
85	 Q0 	AP890313-0224	93	-70.1035283583	 Exp 
85	 Q0 	AP890711-0096	94	-70.1237399069	 Exp 
85	 Q0 	AP890108-0030	95	-70.1254312497	 Exp 
85	 Q0 	AP890414-0097	96	-70.1323340366	 Exp 
85	 Q0 	AP890825-0135	97	-70.1350846168	 Exp 
85	 Q0 	AP890424-0135	98	-70.1459735334	 Exp 
85	 Q0 	AP890525-0042	99	-70.1475282883	 Exp 
85	 Q0 	AP890914-0001	100	-70.1488787077	 Exp 
85	 Q0 	AP890513-0036	101	-70.1578310072	 Exp 
85	 Q0 	AP891011-0208	102	-70.1732778348	 Exp 
85	 Q0 	AP890523-0160	103	-70.1829794799	 Exp 
85	 Q0 	AP890622-0096	104	-70.2088326483	 Exp 
85	 Q0 	AP890720-0157	105	-70.2266459754	 Exp 
85	 Q0 	AP890921-0085	106	-70.2348300028	 Exp 
85	 Q0 	AP890217-0049	107	-70.2380923454	 Exp 
85	 Q0 	AP891213-0271	108	-70.2484072903	 Exp 
85	 Q0 	AP890302-0209	109	-70.2598402935	 Exp 
85	 Q0 	AP891005-0243	110	-70.2795846114	 Exp 
85	 Q0 	AP890718-0237	111	-70.3127207460	 Exp 
85	 Q0 	AP891222-0200	112	-70.3304692455	 Exp 
85	 Q0 	AP890322-0259	113	-70.3316814720	 Exp 
85	 Q0 	AP890125-0007	114	-70.3460585729	 Exp 
85	 Q0 	AP890601-0128	115	-70.3515229233	 Exp 
85	 Q0 	AP890503-0199	116	-70.3706098382	 Exp 
85	 Q0 	AP890107-0080	117	-70.3779774333	 Exp 
85	 Q0 	AP890621-0127	118	-70.4093713048	 Exp 
85	 Q0 	AP890803-0022	119	-70.4123837344	 Exp 
85	 Q0 	AP890624-0028	120	-70.4169313372	 Exp 
85	 Q0 	AP890825-0044	121	-70.4362348737	 Exp 
85	 Q0 	AP890129-0035	122	-70.4760588352	 Exp 
85	 Q0 	AP890726-0212	123	-70.4847221872	 Exp 
85	 Q0 	AP890413-0055	124	-70.4928397476	 Exp 
85	 Q0 	AP890107-0095	125	-70.4946821044	 Exp 
85	 Q0 	AP890418-0038	126	-70.5054220324	 Exp 
85	 Q0 	AP890726-0137	127	-70.5168576881	 Exp 
85	 Q0 	AP890804-0147	128	-70.5323510006	 Exp 
85	 Q0 	AP890714-0124	129	-70.5894359769	 Exp 
85	 Q0 	AP890516-0158	130	-70.5948105448	 Exp 
85	 Q0 	AP890802-0043	131	-70.6022543519	 Exp 
85	 Q0 	AP891017-0172	132	-70.6097218642	 Exp 
85	 Q0 	AP890412-0279	133	-70.6315389862	 Exp 
85	 Q0 	AP891013-0120	134	-70.6319504991	 Exp 
85	 Q0 	AP890620-0122	135	-70.6368957503	 Exp 
85	 Q0 	AP890727-0112	136	-70.6380703541	 Exp 
85	 Q0 	AP891116-0177	137	-70.6452124083	 Exp 
85	 Q0 	AP891012-0293	138	-70.6578764829	 Exp 
85	 Q0 	AP890517-0280	139	-70.6825317295	 Exp 
85	 Q0 	AP891113-0023	140	-70.6863232902	 Exp 
85	 Q0 	AP890712-0059	141	-70.6937235229	 Exp 
85	 Q0 	AP891023-0145	142	-70.6974369847	 Exp 
85	 Q0 	AP890904-0081	143	-70.6974662210	 Exp 
85	 Q0 	AP890109-0132	144	-70.7208368295	 Exp 
85	 Q0 	AP890208-0012	145	-70.7209881741	 Exp 
85	 Q0 	AP890921-0204	146	-70.7213794651	 Exp 
85	 Q0 	AP890112-0180	147	-70.7287137013	 Exp 
85	 Q0 	AP890919-0212	148	-70.7352202698	 Exp 
85	 Q0 	AP890622-0033	149	-70.7369546986	 Exp 
85	 Q0 	AP890124-0165	150	-70.7409462304	 Exp 
85	 Q0 	AP890228-0059	151	-70.7424808809	 Exp 
85	 Q0 	AP890628-0086	152	-70.7539146663	 Exp 
85	 Q0 	AP890715-0008	153	-70.7560071855	 Exp 
85	 Q0 	AP890315-0010	154	-70.7641557639	 Exp 
85	 Q0 	AP890127-0050	155	-70.7763319879	 Exp 
85	 Q0 	AP891205-0163	156	-70.7804018672	 Exp 
85	 Q0 	AP890711-0160	157	-70.7823564222	 Exp 
85	 Q0 	AP890131-0078	158	-70.7938644638	 Exp 
85	 Q0 	AP890807-0158	159	-70.7959373606	 Exp 
85	 Q0 	AP891209-0042	160	-70.7959459300	 Exp 
85	 Q0 	AP891109-0169	161	-70.8029766247	 Exp 
85	 Q0 	AP890911-0142	162	-70.8074782657	 Exp 
85	 Q0 	AP891102-0229	163	-70.8091353178	 Exp 
85	 Q0 	AP890819-0056	164	-70.8164328671	 Exp 
85	 Q0 	AP890906-0183	165	-70.8178400173	 Exp 
85	 Q0 	AP890424-0079	166	-70.8358239163	 Exp 
85	 Q0 	AP891106-0059	167	-70.8446208931	 Exp 
85	 Q0 	AP890713-0174	168	-70.8551959535	 Exp 
85	 Q0 	AP891026-0169	169	-70.8688121224	 Exp 
85	 Q0 	AP890516-0199	170	-70.8697445369	 Exp 
85	 Q0 	AP890206-0153	171	-70.8727225586	 Exp 
85	 Q0 	AP891109-0096	172	-70.8752006942	 Exp 
85	 Q0 	AP891025-0071	173	-70.8827906757	 Exp 
85	 Q0 	AP890428-0072	174	-70.9018966586	 Exp 
85	 Q0 	AP891103-0279	175	-70.9036613797	 Exp 
85	 Q0 	AP890721-0141	176	-70.9121848664	 Exp 
85	 Q0 	AP890914-0168	177	-70.9153468298	 Exp 
85	 Q0 	AP890915-0144	178	-70.9219467543	 Exp 
85	 Q0 	AP890707-0197	179	-70.9357239377	 Exp 
85	 Q0 	AP890228-0093	180	-70.9380559483	 Exp 
85	 Q0 	AP890907-0239	181	-70.9490314476	 Exp 
85	 Q0 	AP891205-0071	182	-70.9619911511	 Exp 
85	 Q0 	AP890210-0228	183	-70.9673183626	 Exp 
85	 Q0 	AP891207-0102	184	-70.9842097501	 Exp 
85	 Q0 	AP890228-0141	185	-70.9934082093	 Exp 
85	 Q0 	AP891225-0110	186	-71.0165758107	 Exp 
85	 Q0 	AP890201-0127	187	-71.0331092169	 Exp 
85	 Q0 	AP890303-0139	188	-71.0522241675	 Exp 
85	 Q0 	AP890208-0025	189	-71.0725416029	 Exp 
85	 Q0 	AP890426-0134	190	-71.0732470731	 Exp 
85	 Q0 	AP890530-0201	191	-71.0744639244	 Exp 
85	 Q0 	AP890919-0084	192	-71.0968199482	 Exp 
85	 Q0 	AP890117-0052	193	-71.1045872369	 Exp 
85	 Q0 	AP890923-0080	194	-71.1065863835	 Exp 
85	 Q0 	AP890602-0066	195	-71.1075598319	 Exp 
85	 Q0 	AP890615-0265	196	-71.1131267419	 Exp 
85	 Q0 	AP890201-0231	197	-71.1138432813	 Exp 
85	 Q0 	AP890615-0143	198	-71.1156233834	 Exp 
85	 Q0 	AP890623-0035	199	-71.1265796831	 Exp 
85	 Q0 	AP890123-0314	200	-71.1275900556	 Exp 
85	 Q0 	AP891207-0099	201	-71.1321784027	 Exp 
85	 Q0 	AP890119-0085	202	-71.1337390540	 Exp 
85	 Q0 	AP891107-0005	203	-71.1370510223	 Exp 
85	 Q0 	AP891124-0105	204	-71.1394726263	 Exp 
85	 Q0 	AP891023-0173	205	-71.1446147880	 Exp 
85	 Q0 	AP891104-0090	206	-71.1505895794	 Exp 
85	 Q0 	AP890206-0087	207	-71.1592680578	 Exp 
85	 Q0 	AP891101-0071	208	-71.1630702754	 Exp 
85	 Q0 	AP890713-0203	209	-71.1637549187	 Exp 
85	 Q0 	AP891208-0021	210	-71.1783086575	 Exp 
85	 Q0 	AP891031-0190	211	-71.1866405471	 Exp 
85	 Q0 	AP890107-0037	212	-71.1954482952	 Exp 
85	 Q0 	AP890919-0162	213	-71.1957062163	 Exp 
85	 Q0 	AP890116-0144	214	-71.1964511744	 Exp 
85	 Q0 	AP890624-0008	215	-71.2075817543	 Exp 
85	 Q0 	AP890209-0021	216	-71.2227304921	 Exp 
85	 Q0 	AP890425-0085	217	-71.2267753644	 Exp 
85	 Q0 	AP890217-0035	218	-71.2331174158	 Exp 
85	 Q0 	AP891026-0118	219	-71.2342180627	 Exp 
85	 Q0 	AP891114-0142	220	-71.2373739249	 Exp 
85	 Q0 	AP890218-0067	221	-71.2383580677	 Exp 
85	 Q0 	AP890125-0024	222	-71.2401571267	 Exp 
85	 Q0 	AP891027-0178	223	-71.2496655715	 Exp 
85	 Q0 	AP890915-0229	224	-71.2500558282	 Exp 
85	 Q0 	AP890723-0023	225	-71.2538799183	 Exp 
85	 Q0 	AP891006-0184	226	-71.2639462949	 Exp 
85	 Q0 	AP890216-0050	227	-71.2691617168	 Exp 
85	 Q0 	AP891215-0244	228	-71.2850605033	 Exp 
85	 Q0 	AP890109-0080	229	-71.2928658235	 Exp 
85	 Q0 	AP890523-0190	230	-71.2952845339	 Exp 
85	 Q0 	AP890522-0059	231	-71.2954083021	 Exp 
85	 Q0 	AP890118-0030	232	-71.3074846029	 Exp 
85	 Q0 	AP890118-0177	233	-71.3086071141	 Exp 
85	 Q0 	AP890725-0142	234	-71.3103048001	 Exp 
85	 Q0 	AP890221-0078	235	-71.3281101038	 Exp 
85	 Q0 	AP890826-0062	236	-71.3342427645	 Exp 
85	 Q0 	AP891009-0070	237	-71.3353965615	 Exp 
85	 Q0 	AP891201-0028	238	-71.3430939431	 Exp 
85	 Q0 	AP890315-0056	239	-71.3522278511	 Exp 
85	 Q0 	AP890923-0106	240	-71.3575488953	 Exp 
85	 Q0 	AP891227-0130	241	-71.3641622547	 Exp 
85	 Q0 	AP890417-0030	242	-71.3656169843	 Exp 
85	 Q0 	AP890428-0084	243	-71.3689274212	 Exp 
85	 Q0 	AP891004-0078	244	-71.3745456819	 Exp 
85	 Q0 	AP890823-0093	245	-71.3757672055	 Exp 
85	 Q0 	AP890531-0135	246	-71.3798624349	 Exp 
85	 Q0 	AP891025-0083	247	-71.3847002340	 Exp 
85	 Q0 	AP890523-0044	248	-71.3922492167	 Exp 
85	 Q0 	AP891021-0015	249	-71.3933153886	 Exp 
85	 Q0 	AP890729-0040	250	-71.3948967561	 Exp 
85	 Q0 	AP890531-0203	251	-71.3952498525	 Exp 
85	 Q0 	AP890222-0195	252	-71.4036562052	 Exp 
85	 Q0 	AP890222-0251	253	-71.4045039183	 Exp 
85	 Q0 	AP891123-0040	254	-71.4140949919	 Exp 
85	 Q0 	AP891105-0023	255	-71.4169883349	 Exp 
85	 Q0 	AP891226-0086	256	-71.4181854261	 Exp 
85	 Q0 	AP891221-0239	257	-71.4220453389	 Exp 
85	 Q0 	AP891009-0090	258	-71.4222034914	 Exp 
85	 Q0 	AP890922-0089	259	-71.4368300521	 Exp 
85	 Q0 	AP890903-0020	260	-71.4403778680	 Exp 
85	 Q0 	AP890302-0132	261	-71.4432484393	 Exp 
85	 Q0 	AP890316-0268	262	-71.4510756638	 Exp 
85	 Q0 	AP890306-0061	263	-71.4718166047	 Exp 
85	 Q0 	AP891101-0036	264	-71.4732649418	 Exp 
85	 Q0 	AP890703-0143	265	-71.4824090084	 Exp 
85	 Q0 	AP891207-0027	266	-71.4887375206	 Exp 
85	 Q0 	AP891017-0098	267	-71.4894937516	 Exp 
85	 Q0 	AP891020-0162	268	-71.5091744158	 Exp 
85	 Q0 	AP890622-0145	269	-71.5120729152	 Exp 
85	 Q0 	AP890627-0257	270	-71.5227298227	 Exp 
85	 Q0 	AP890609-0064	271	-71.5376157093	 Exp 
85	 Q0 	AP891108-0007	272	-71.5409698565	 Exp 
85	 Q0 	AP890315-0167	273	-71.5464380695	 Exp 
85	 Q0 	AP890410-0081	274	-71.5471037923	 Exp 
85	 Q0 	AP890304-0097	275	-71.5507196956	 Exp 
85	 Q0 	AP891214-0108	276	-71.5539811105	 Exp 
85	 Q0 	AP891002-0151	277	-71.5603025331	 Exp 
85	 Q0 	AP891212-0056	278	-71.5820946590	 Exp 
85	 Q0 	AP890118-0150	279	-71.5903431683	 Exp 
85	 Q0 	AP890304-0129	280	-71.5927167575	 Exp 
85	 Q0 	AP891029-0049	281	-71.5961903703	 Exp 
85	 Q0 	AP890228-0162	282	-71.6028072951	 Exp 
85	 Q0 	AP891213-0068	283	-71.6056879370	 Exp 
85	 Q0 	AP890824-0176	284	-71.6068201061	 Exp 
85	 Q0 	AP890320-0177	285	-71.6149602834	 Exp 
85	 Q0 	AP890724-0098	286	-71.6385171096	 Exp 
85	 Q0 	AP890129-0044	287	-71.6552063593	 Exp 
85	 Q0 	AP890516-0238	288	-71.6662483203	 Exp 
85	 Q0 	AP890609-0198	289	-71.6762383977	 Exp 
85	 Q0 	AP890911-0241	290	-71.6770086084	 Exp 
85	 Q0 	AP890922-0276	291	-71.6783220784	 Exp 
85	 Q0 	AP890622-0282	292	-71.6844069245	 Exp 
85	 Q0 	AP890927-0042	293	-71.6868378346	 Exp 
85	 Q0 	AP891114-0005	294	-71.6916029285	 Exp 
85	 Q0 	AP890621-0007	295	-71.6957503423	 Exp 
85	 Q0 	AP890224-0039	296	-71.6997374731	 Exp 
85	 Q0 	AP890517-0287	297	-71.7053223204	 Exp 
85	 Q0 	AP891208-0002	298	-71.7117659398	 Exp 
85	 Q0 	AP890719-0204	299	-71.7213652419	 Exp 
85	 Q0 	AP890406-0183	300	-71.7270534489	 Exp 
85	 Q0 	AP890309-0205	301	-71.7281901749	 Exp 
85	 Q0 	AP890626-0020	302	-71.7306359706	 Exp 
85	 Q0 	AP890908-0024	303	-71.7360929144	 Exp 
85	 Q0 	AP891031-0163	304	-71.7397205269	 Exp 
85	 Q0 	AP890506-0088	305	-71.7407808858	 Exp 
85	 Q0 	AP890718-0233	306	-71.7448465045	 Exp 
85	 Q0 	AP890824-0070	307	-71.7459764930	 Exp 
85	 Q0 	AP891215-0157	308	-71.7474793293	 Exp 
85	 Q0 	AP890607-0166	309	-71.7511511668	 Exp 
85	 Q0 	AP890601-0389	310	-71.7637673414	 Exp 
85	 Q0 	AP890109-0072	311	-71.7659390731	 Exp 
85	 Q0 	AP891002-0245	312	-71.7676501102	 Exp 
85	 Q0 	AP890227-0139	313	-71.7738823985	 Exp 
