85	 Q0 	AP890912-0198	1	-48.9575685483	 Exp 
85	 Q0 	AP890915-0075	2	-48.9589712333	 Exp 
85	 Q0 	AP890704-0150	3	-49.0543264171	 Exp 
85	 Q0 	AP890710-0011	4	-49.0543264171	 Exp 
85	 Q0 	AP890302-0132	5	-49.0831116619	 Exp 
85	 Q0 	AP890518-0050	6	-49.1202679460	 Exp 
85	 Q0 	AP890220-0143	7	-49.1764187552	 Exp 
85	 Q0 	AP890516-0104	8	-49.2089836430	 Exp 
85	 Q0 	AP890108-0030	9	-49.2625643058	 Exp 
85	 Q0 	AP891209-0064	10	-49.3067841318	 Exp 
85	 Q0 	AP890412-0196	11	-49.3152665605	 Exp 
85	 Q0 	AP890116-0163	12	-49.3197740002	 Exp 
85	 Q0 	AP891207-0148	13	-49.3227134607	 Exp 
85	 Q0 	AP890223-0032	14	-49.3351366195	 Exp 
85	 Q0 	AP890107-0080	15	-49.3393972641	 Exp 
85	 Q0 	AP890620-0122	16	-49.4154238775	 Exp 
85	 Q0 	AP891013-0120	17	-49.4174123219	 Exp 
85	 Q0 	AP890209-0040	18	-49.4294288480	 Exp 
85	 Q0 	AP891102-0229	19	-49.4367924019	 Exp 
85	 Q0 	AP891106-0059	20	-49.4369271491	 Exp 
85	 Q0 	AP890622-0096	21	-49.4593468529	 Exp 
85	 Q0 	AP890731-0042	22	-49.4650656791	 Exp 
85	 Q0 	AP890322-0259	23	-49.4703845524	 Exp 
85	 Q0 	AP890919-0162	24	-49.5117674318	 Exp 
85	 Q0 	AP891205-0163	25	-49.5265368908	 Exp 
85	 Q0 	AP890417-0158	26	-49.5436724919	 Exp 
85	 Q0 	AP890516-0199	27	-49.5441578155	 Exp 
85	 Q0 	AP891012-0293	28	-49.5557711292	 Exp 
85	 Q0 	AP890324-0039	29	-49.5572281763	 Exp 
85	 Q0 	AP890417-0030	30	-49.5755066301	 Exp 
85	 Q0 	AP890410-0010	31	-49.6068157028	 Exp 
85	 Q0 	AP890105-0199	32	-49.6071395413	 Exp 
85	 Q0 	AP890125-0007	33	-49.6071935121	 Exp 
85	 Q0 	AP890723-0023	34	-49.6091090391	 Exp 
85	 Q0 	AP890710-0119	35	-49.6378659809	 Exp 
85	 Q0 	AP890710-0036	36	-49.6649155986	 Exp 
85	 Q0 	AP891020-0233	37	-49.6672628229	 Exp 
85	 Q0 	AP890921-0204	38	-49.6681797843	 Exp 
85	 Q0 	AP890808-0004	39	-49.6685842645	 Exp 
85	 Q0 	AP890521-0093	40	-49.6720612404	 Exp 
85	 Q0 	AP890522-0129	41	-49.6836483969	 Exp 
85	 Q0 	AP891204-0155	42	-49.7191974716	 Exp 
85	 Q0 	AP890516-0158	43	-49.7319433481	 Exp 
85	 Q0 	AP891111-0095	44	-49.7389933267	 Exp 
85	 Q0 	AP891213-0271	45	-49.7391427405	 Exp 
85	 Q0 	AP890515-0088	46	-49.7480351431	 Exp 
85	 Q0 	AP890525-0042	47	-49.7631266564	 Exp 
85	 Q0 	AP891215-0244	48	-49.7663385046	 Exp 
85	 Q0 	AP890615-0143	49	-49.7736282565	 Exp 
85	 Q0 	AP890322-0256	50	-49.7794001861	 Exp 
85	 Q0 	AP890221-0207	51	-49.7819622948	 Exp 
85	 Q0 	AP890520-0007	52	-49.7823131951	 Exp 
85	 Q0 	AP890124-0189	53	-49.7841212319	 Exp 
85	 Q0 	AP890413-0055	54	-49.7841212319	 Exp 
85	 Q0 	AP890206-0065	55	-49.7876272173	 Exp 
85	 Q0 	AP891202-0120	56	-49.7884628422	 Exp 
85	 Q0 	AP890617-0131	57	-49.7921807712	 Exp 
85	 Q0 	AP890125-0265	58	-49.8100180117	 Exp 
85	 Q0 	AP890509-0275	59	-49.8112595240	 Exp 
85	 Q0 	AP890125-0024	60	-49.8121499555	 Exp 
85	 Q0 	AP890107-0095	61	-49.8125546368	 Exp 
85	 Q0 	AP890107-0037	62	-49.8140651137	 Exp 
85	 Q0 	AP890904-0081	63	-49.8193189394	 Exp 
85	 Q0 	AP890705-0049	64	-49.8227191176	 Exp 
85	 Q0 	AP890516-0020	65	-49.8415735452	 Exp 
85	 Q0 	AP890714-0124	66	-49.8415735452	 Exp 
85	 Q0 	AP890712-0059	67	-49.8416814773	 Exp 
85	 Q0 	AP890315-0167	68	-49.8437047077	 Exp 
85	 Q0 	AP891002-0245	69	-49.8440822730	 Exp 
85	 Q0 	AP890425-0085	70	-49.8564772702	 Exp 
85	 Q0 	AP890516-0072	71	-49.8590645497	 Exp 
85	 Q0 	AP890315-0056	72	-49.8903867986	 Exp 
85	 Q0 	AP891228-0136	73	-49.8967777463	 Exp 
85	 Q0 	AP890726-0212	74	-49.9031743405	 Exp 
85	 Q0 	AP890122-0062	75	-49.9047680273	 Exp 
85	 Q0 	AP890120-0071	76	-49.9051461044	 Exp 
85	 Q0 	AP891101-0036	77	-49.9057671596	 Exp 
85	 Q0 	AP891207-0102	78	-49.9066310888	 Exp 
85	 Q0 	AP890104-0031	79	-49.9070899812	 Exp 
85	 Q0 	AP890711-0160	80	-49.9071439654	 Exp 
85	 Q0 	AP890819-0056	81	-49.9072249404	 Exp 
85	 Q0 	AP890313-0224	82	-49.9078996732	 Exp 
85	 Q0 	AP890209-0152	83	-49.9096804644	 Exp 
85	 Q0 	AP891116-0078	84	-49.9098962682	 Exp 
85	 Q0 	AP890125-0242	85	-49.9100581141	 Exp 
85	 Q0 	AP890208-0035	86	-49.9102738992	 Exp 
85	 Q0 	AP891121-0022	87	-49.9182504199	 Exp 
85	 Q0 	AP890428-0084	88	-49.9194324053	 Exp 
85	 Q0 	AP890323-0196	89	-49.9201611168	 Exp 
85	 Q0 	AP890823-0093	90	-49.9228859537	 Exp 
85	 Q0 	AP890221-0159	91	-49.9544079120	 Exp 
85	 Q0 	AP890125-0162	92	-49.9609139145	 Exp 
85	 Q0 	AP891130-0073	93	-49.9615612819	 Exp 
85	 Q0 	AP890831-0108	94	-49.9658646329	 Exp 
85	 Q0 	AP891004-0091	95	-49.9662964096	 Exp 
85	 Q0 	AP890727-0175	96	-49.9672137925	 Exp 
85	 Q0 	AP890916-0103	97	-49.9674026414	 Exp 
85	 Q0 	AP890823-0084	98	-49.9679151899	 Exp 
85	 Q0 	AP890520-0131	99	-49.9679421645	 Exp 
85	 Q0 	AP890410-0119	100	-49.9722828854	 Exp 
85	 Q0 	AP890417-0083	101	-49.9727948583	 Exp 
85	 Q0 	AP890202-0229	102	-49.9824366356	 Exp 
85	 Q0 	AP890304-0129	103	-49.9844623700	 Exp 
85	 Q0 	AP890418-0038	104	-49.9848944044	 Exp 
85	 Q0 	AP890522-0097	105	-49.9860012964	 Exp 
85	 Q0 	AP891012-0018	106	-49.9863522033	 Exp 
85	 Q0 	AP890129-0035	107	-49.9865141507	 Exp 
85	 Q0 	AP890904-0058	108	-49.9869189929	 Exp 
85	 Q0 	AP890921-0154	109	-49.9878364956	 Exp 
85	 Q0 	AP891121-0145	110	-49.9884300705	 Exp 
85	 Q0 	AP891211-0013	111	-49.9886728732	 Exp 
85	 Q0 	AP891130-0125	112	-49.9889965891	 Exp 
85	 Q0 	AP890919-0084	113	-49.9895900055	 Exp 
85	 Q0 	AP890706-0103	114	-49.9896439484	 Exp 
85	 Q0 	AP890702-0068	115	-49.9898057731	 Exp 
85	 Q0 	AP890316-0268	116	-49.9900215301	 Exp 
85	 Q0 	AP890129-0009	117	-49.9903451454	 Exp 
