15011	 Q0 	http://en.wikipedia.org/wiki/Retired_number	1	0.5509146500	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Jordan's_Restaurant	2	0.4503537400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/James_R._Jordan,_Sr.	3	0.4344857600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Jeffrey_Jordan	4	0.4284131800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Jordan_statue	5	0.3897994800	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Retirement	6	0.3353262000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Jordan	7	0.3330624700	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/usg_pct_progress.html	8	0.3249359400	 Exp 
15011	 Q0 	http://www.nba.com/history/players/jordan_bio.html	9	0.3230349400	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/obpm_progress.html	10	0.3223048400	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/vorp_progress.html	11	0.3223048400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Jordan_Rules	12	0.3206311500	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/nationality/1/United-States/M	13	0.3203472500	 Exp 
15011	 Q0 	http://www.celebritynetworth.com/list/top-50-nba/	14	0.3181683700	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Air_Jordan	15	0.3148102000	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/pts_per_g_progress_p.html	16	0.3147870000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Category:Michael_Jordan	17	0.3111792800	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/nationality/1/United-States/B	18	0.3085420400	 Exp 
15011	 Q0 	http://www.celebritynetworth.com/list/top-50-richest-athletes/	19	0.3060484500	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/bpm_progress.html	20	0.3060435700	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/The_Shot	21	0.3050810700	 Exp 
15011	 Q0 	http://www.basketball-reference.com/leaders/usg_pct_progress_p.html	22	0.3032486000	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Space_Jam	23	0.2994415200	 Exp 
15011	 Q0 	http://basketball.realgm.com/info/nationality/1/United-States/S	24	0.2942607700	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Game_6_of_the_1998_NBA_Finals	25	0.2936778400	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/List_of_National_Basketball_Association_retired_jersey_numbers	26	0.2932714800	 Exp 
15011	 Q0 	http://basketball.realgm.com/nba/birth-countries	27	0.2899982600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Michael_Cage	28	0.2880269600	 Exp 
15011	 Q0 	http://en.wikipedia.org/wiki/Mike_Bratz	29	0.2852921000	 Exp 
