85	 Q0 	AP890220-0143	1	3.1838269281	 Exp 
85	 Q0 	AP890915-0075	2	2.7838973630	 Exp 
85	 Q0 	AP890412-0196	3	2.6330148484	 Exp 
85	 Q0 	AP890518-0050	4	2.5383197557	 Exp 
85	 Q0 	AP890131-0031	5	2.5241822509	 Exp 
85	 Q0 	AP891111-0095	6	2.5193561683	 Exp 
85	 Q0 	AP890516-0104	7	2.5113920628	 Exp 
85	 Q0 	AP890221-0159	8	2.4921873592	 Exp 
85	 Q0 	AP890209-0040	9	2.4899923361	 Exp 
85	 Q0 	AP890724-0073	10	2.4297254653	 Exp 
85	 Q0 	AP890322-0259	11	2.4284605668	 Exp 
85	 Q0 	AP890310-0224	12	2.4262523693	 Exp 
85	 Q0 	AP890522-0129	13	2.3519487118	 Exp 
85	 Q0 	AP891209-0064	14	2.3277649619	 Exp 
85	 Q0 	AP890912-0198	15	2.3269592472	 Exp 
85	 Q0 	AP890122-0062	16	2.2771651315	 Exp 
85	 Q0 	AP890516-0072	17	2.2457071576	 Exp 
85	 Q0 	AP890118-0229	18	2.2432704265	 Exp 
85	 Q0 	AP890302-0132	19	2.2375879152	 Exp 
85	 Q0 	AP890916-0058	20	2.2261010669	 Exp 
85	 Q0 	AP890223-0032	21	2.2110656380	 Exp 
85	 Q0 	AP890807-0158	22	2.2020650660	 Exp 
85	 Q0 	AP890410-0010	23	2.1935666250	 Exp 
85	 Q0 	AP890622-0096	24	2.1922502622	 Exp 
85	 Q0 	AP890726-0212	25	2.1914075462	 Exp 
85	 Q0 	AP891230-0030	26	2.1850037638	 Exp 
85	 Q0 	AP891012-0293	27	2.1790584568	 Exp 
85	 Q0 	AP890116-0163	28	2.1766867288	 Exp 
85	 Q0 	AP891221-0133	29	2.1629692759	 Exp 
85	 Q0 	AP890520-0007	30	2.1618526683	 Exp 
85	 Q0 	AP890108-0030	31	2.1607870492	 Exp 
85	 Q0 	AP890214-0122	32	2.1560358015	 Exp 
85	 Q0 	AP890401-0001	33	2.1516533695	 Exp 
85	 Q0 	AP890704-0150	34	2.1494504457	 Exp 
85	 Q0 	AP890710-0011	35	2.1494504457	 Exp 
85	 Q0 	AP890513-0036	36	2.1475820735	 Exp 
85	 Q0 	AP890731-0042	37	2.1467029923	 Exp 
85	 Q0 	AP890120-0071	38	2.1462595415	 Exp 
85	 Q0 	AP891101-0036	39	2.1455156197	 Exp 
85	 Q0 	AP890202-0229	40	2.1418749886	 Exp 
85	 Q0 	AP890125-0007	41	2.1412290093	 Exp 
85	 Q0 	AP890125-0134	42	2.1394521066	 Exp 
85	 Q0 	AP890125-0265	43	2.1352848211	 Exp 
85	 Q0 	AP890620-0122	44	2.1300390574	 Exp 
85	 Q0 	AP891013-0120	45	2.1247817832	 Exp 
85	 Q0 	AP890711-0096	46	2.1209607104	 Exp 
85	 Q0 	AP890525-0042	47	2.1039443750	 Exp 
85	 Q0 	AP890314-0133	48	2.1014391745	 Exp 
85	 Q0 	AP890919-0162	49	2.0988578576	 Exp 
85	 Q0 	AP890304-0129	50	2.0973659942	 Exp 
85	 Q0 	AP890107-0129	51	2.0817073895	 Exp 
85	 Q0 	AP890509-0031	52	2.0745095116	 Exp 
85	 Q0 	AP890125-0095	53	2.0691712273	 Exp 
85	 Q0 	AP890221-0207	54	2.0612564757	 Exp 
85	 Q0 	AP890314-0022	55	2.0583532969	 Exp 
85	 Q0 	AP890517-0182	56	2.0571010074	 Exp 
85	 Q0 	AP890503-0199	57	2.0567300241	 Exp 
85	 Q0 	AP891031-0163	58	2.0535484127	 Exp 
85	 Q0 	AP890418-0038	59	2.0534643259	 Exp 
85	 Q0 	AP890104-0031	60	2.0484727673	 Exp 
85	 Q0 	AP890426-0134	61	2.0456325060	 Exp 
85	 Q0 	AP890711-0160	62	2.0427034405	 Exp 
85	 Q0 	AP890314-0223	63	2.0380022034	 Exp 
85	 Q0 	AP891212-0056	64	2.0355291104	 Exp 
85	 Q0 	AP890511-0074	65	2.0310914695	 Exp 
85	 Q0 	AP890628-0156	66	2.0263931444	 Exp 
85	 Q0 	AP890324-0039	67	2.0234315367	 Exp 
85	 Q0 	AP891121-0061	68	2.0203022261	 Exp 
85	 Q0 	AP891207-0148	69	2.0126011012	 Exp 
85	 Q0 	AP890509-0275	70	2.0096379528	 Exp 
85	 Q0 	AP890105-0199	71	2.0075210808	 Exp 
85	 Q0 	AP891129-0065	72	2.0058845098	 Exp 
85	 Q0 	AP890819-0056	73	2.0041378695	 Exp 
85	 Q0 	AP891212-0058	74	1.9991639913	 Exp 
85	 Q0 	AP890516-0158	75	1.9962643760	 Exp 
85	 Q0 	AP890904-0081	76	1.9956458466	 Exp 
85	 Q0 	AP890611-0070	77	1.9887400754	 Exp 
85	 Q0 	AP890710-0036	78	1.9876394353	 Exp 
85	 Q0 	AP890107-0080	79	1.9809496586	 Exp 
85	 Q0 	AP890525-0031	80	1.9729301871	 Exp 
85	 Q0 	AP890723-0023	81	1.9687078840	 Exp 
85	 Q0 	AP890227-0139	82	1.9676184212	 Exp 
85	 Q0 	AP890129-0045	83	1.9675884896	 Exp 
85	 Q0 	AP891230-0081	84	1.9668335571	 Exp 
85	 Q0 	AP890313-0224	85	1.9653079681	 Exp 
85	 Q0 	AP891026-0169	86	1.9640644292	 Exp 
85	 Q0 	AP890615-0143	87	1.9557563213	 Exp 
85	 Q0 	AP891023-0145	88	1.9484479486	 Exp 
85	 Q0 	AP891207-0102	89	1.9463227713	 Exp 
85	 Q0 	AP891215-0244	90	1.9447648787	 Exp 
85	 Q0 	AP891124-0105	91	1.9398763858	 Exp 
85	 Q0 	AP891011-0056	92	1.9389449181	 Exp 
85	 Q0 	AP890417-0158	93	1.9385662421	 Exp 
85	 Q0 	AP890425-0085	94	1.9261580119	 Exp 
85	 Q0 	AP890922-0154	95	1.9203710635	 Exp 
85	 Q0 	AP890428-0084	96	1.9157781822	 Exp 
85	 Q0 	AP890714-0124	97	1.9150393237	 Exp 
85	 Q0 	AP890414-0097	98	1.9141844163	 Exp 
85	 Q0 	AP890315-0056	99	1.9112733103	 Exp 
85	 Q0 	AP890919-0212	100	1.9062753110	 Exp 
85	 Q0 	AP891205-0163	101	1.9052486146	 Exp 
85	 Q0 	AP890129-0035	102	1.9048151788	 Exp 
85	 Q0 	AP890413-0055	103	1.9026810997	 Exp 
85	 Q0 	AP890227-0178	104	1.9019898173	 Exp 
85	 Q0 	AP890112-0180	105	1.8954647167	 Exp 
85	 Q0 	AP890712-0059	106	1.8943689890	 Exp 
85	 Q0 	AP890107-0095	107	1.8940210078	 Exp 
85	 Q0 	AP890809-0019	108	1.8906872789	 Exp 
